BEAULIEU (de), Louis - Bourg-en-Bresse
BERNOUDY, François-Cézar - Trévoux
BIGNET dit Groslet, Joseph - Groslée
BUSSEAU ou BUSSOD dit Lacouture, Claude - Viriat
BUSSOD, Jean-François - Pressiat
CLAUSERET, Jacques - Chaveyriat
COGNAC, Pierre - L’Abergement-de-Varey
CORSIN, Jean - Bourg-en-Bresse
DOUGLAS, François-Prosper - Montréal-la-Cluse
FAURE, Pierre - Bourg-en-Bresse
GALAIS, François - Bourg-en-Bresse
GAUTHIER, Joseph - Saint-Denis-les-Bourg
GOGNA, Henri - Ferney-Voltaire
GORDAN, Antoine - Bourg-en-Bresse
GUIGNARDA, Joseph - Germagnat
GUYON ou GUILLON, Pierre - Hauteville-Lompnes
HAUTERIVE DE VALLIERE (d’), Jean-Bernard - Belley
HAUTERIVE DE VALLIERE (d’), Joseph - Belley
HUMBERT, François-Joseph Michel - Châtillon-sur-Chalaronne
JANARD, Joseph - Leyssard
LASCARIS D’URFE, François-Saturnin - Bagé-le-Châtel
LAURENT dit Larose, Joseph - Villereversure
LAVANOIS, Jean-Baptiste - Vescours
LE ROY DESMAREST, Claude-Joseph - Trévoux
MALLARD, Antheline - Belley
MORGELE, Claude - Saint-Maurice-de-Gourdans
PEL, Charles - Montréal-la-Cluse
PICHOT dit Laforme, Pierre - Pont-de-Vaux
PICQUET, François - Bourg-en-Bresse
PICQUET, François - Verjon
RAMBERT ou REMBERT, André - Saint-Martin-du-Frêne
SAUTIER, Jacques - Seyssel
SAUVAGE DE CHATILLONET, Jean-Louis - Belley
TENANT, Jean-Louis - Evosges
VALLEE ou NOLET, Jean-Baptiste - Saint-Martin-le-Châtel
VINCENT, Claude-Joseph - Saint-André-le-Bouchoux
ZEILLON, Benoît - Prévessin-Moëns
