ADHEMAR de LANTAGNAC, Gaspard - Menton
ARNOUX, Alexandre-Joseph-Xavier - Vence
ARNOUX, André - Vence
ARNOUX, Blaise - Vence
BONNEFOY, Honoré-Maure - La-Penne
CAIRE (de), François - Antibes
DANIS dit Provençal, Honoré-Martial - Le-Cannet
DAUTIER dit Saint-André, François - La-Penne
FOUCARDE, Marie - Châteauneuf-Grasse
GALLIOT dit Provençal, Joseph - Antibes
GAULTIER dit Ciceron, Pierre. - Cannes
GERBAULT, Etienne - Menton
LETORE, Ambroise. - Cannes
LION, Joseph - Grasse
MARTIN, Pierre - Vence
OLIVIER, Jean - Sallagriffon
PONCY, François-Philippe - Saint-Etienne-de-Tinée
REIBAUT dit Lajeunesse, Lambert - Vence
RICORD ou RICAUX, Charles - Grasse
ROUX dit Lafleur, Antoine - Grasse
