AIGON, Jean-Baptiste-Henri - Viviers
ALEYRAC (d’), Jean-Baptiste - Saint-Pierreville
AVON ou HAON, Jean-Baptiste - Coucouron
BADEL dit Dufort, Jean-Antoine - Saint-Vincent-de-Durfort
BERANGER ou BERENGER, Alexis - Sanilhac
BIARD, Pierre - Tournon-sur-Rhône
BLACHE, Pierre - Saint-Agrève
CHABAL ou SABAT, Antoine - Saint-Fortunat-sur-Eyrieux
CHARBONNIER, Louis - Saint-Laurent-sous-Coiron
COLLET, Antoine - Beauchastel
DAVAUX-BESSON DE LA GARDE, Jean-Pierre - Viviers
DELAUNAY, Madeleine - Viviers
DESCHAMBAULT, Jean-Baptiste - Saint-Fortunat-sur-Eyrieux
DUPUIS, Jean - Saint-Jacques-d’Atticieux
FORAND ou FARAND, Marcellin - Serrières
GUIGNARD, Jacques-André - La Voulte-sur-Rhône
LATOUR, Joseph - Lavillatte
LEROUX, Mathieu - Saint-Clément
MASSÉ, Enemond - Tournon-sur-Rhône
MATHEVET, Claude - Saint-Martin-de-Valamas
MONIER, Jean - Vogüé
MONTGOLFIER, Etienne - Annonay
NÈGRE, Jean-Baptiste - Bessas
NICOLAS, Louis - Aubenas
PAGES, Clément - Viviers
PERTHUIS, Simon-Louis - Viviers
POIRIER ou PERRIER dit Ladouceur, Claude - Gras
SABATIER dit Prêt-à-Boire, Pierre - Privas
SALADIN, Simon - Bourg-Saint-Andéol
TALARD, Jean-Baptiste - Glun
