BARDOL dit Laderoute, Jérôme - Montaillou
BARTHE dit Larivière ou Belleville, Jean - Raissac
BOUTIN dit Francoeur, Jacques - Roquefort-les-Cascades
DALCIAT dit de la Fajolle, Jean-Baptiste-Antoine - La Bastide-de-Sérou
DESTREME dit Contois, Pierre - Surba
DUPUIS, Zacharie - Saverdun
ESTEBE, Guillaume - Gourbit
JARRY dit Sainte-Foy, Pierre - Sainte-Foi
LABOULAIS DE SAILLAN (de), Antoine - Saint-Lizier
MAILLOT dit Latulippe, Jean-Baptiste - Tarascon-sur-Ariège
MORAND, François - Pamiers
MORISSEAU, Vincent - Saint-Girons
PRIME dit l’Aventure, Jean - Saint-Quirc
RIVIÈRE, Jean-Baptiste - Foix
SIMONIN, Maurice - Boussenac
