ABIROU dit Larose, Pierre - Saint-Amans-de-Villemagne
AGEMENT ou ASEMENT dit Saint-martin, Jacques - Montgaillard
ARPAJOU, Jean-Baptiste - Carcassonne
CARRIERE dit Carcassonne, Jean - Carcassonne
CASINUS, Pierre - Castelnaudary
CHANSSONNET dit Prêt à boire, Jean - Carcassonne
CHOREL ou SOREL dit Léveillé, Hilaire - Saint-Sernin
COMBE dit Brind’amour, André - Saint-Michel-de-Lanes
DESJORDY DE CABANAC, Joseph - Carcassonne
DESJORDY MOREAU DE CABANAC, François - Carcassonne
DESTREMPES, Jean-Baptiste - Lasbordes
ENOUILLE dit Languedoc, Jean - Les-Ilhes
FAURE dit Saint-Jean, Jean - Villeneuve-les-Corbières
FONTANNE dit Delisle, Jean-Victor - Alet-les-Bains
FORT dit Saint-Germain, Germain - Belpech
GOUGY dit Carcassonne, Jean - Villemoustaussou
GRAVES (de), Pierre-Anicet. - Narbonne
GUIREAU dit Sanscartier, Pierre - Carcassonne
GUITET ou GUITE dit Grinelbrun, Claude - Carcassonne
JEAN dit Lafleur, Géraud ou Jérôme - Castelnaudary
LA ROQUE DE ROBERVAL (de), Jean-François - Carcassonne
LALANNE, Jean-Antoine - Lagrasse
LEVIS (de), François-Gaston - Ajac
MADRY, Jean - Mazerolles-du-Razès
MIRAN, Bernard - Carcassonne
PAGES dit Laverdure, François - Maisons
PALMAROLLE (de), François-Charles-Bertrand - Cailla
PARDAILHA, Jean-Baptiste - Narbonne
PAYEMENT dit Larivière, Pierre - Castelnaudary
PEIRE, Philippe - Carcassonne
PINEAU ou PINOLT ou PINAULT, Nicolas - Carcassonne
PLANTIER dit Lagrenade, Jean-Baptiste - Rivel
PLAT, Charles - Duilhac-sous-Peyrepertuse
PONT, Jacques - Rivel
RAICHE, François - Carcassonne
REBERDY dit Sansoucy, Pierre - Villepinte
RENAUD dit Narbonne, Barthélemy - Narbonne
RIOUSSEL dit Languedoc, Laurent - Carcassonne
ROCH dit Lagrenade, Guillaume - Conques-sur-Orbeil
ROLLAND, Jean-Pierre - Rivel
ROSEAU dit Saintpierre, Pierre - Carcassonne
SAINT-FELIX (de), Jacques-Jean-Charles - Saint-Papoul
SAINTON dit Lagiroflée ou Carcy, François - Montréal
TESSIER dit Latulippe, Joseph - Pomas
TOUREIL dit Carcassonne ou Vidal, Jean-Baptiste - Carcassonne
TRIERE, Pierre - Feste-Saint-André
