BASILIÈRE dit Laliberté, Louis - Prades-d’Aubrac
BESSIÈRE, Antoine - Villefranche-de-Rouergue
BOCHEQUAY, Pierre - Estaing
BONNEVILLE dit Belleﬂeur, Joseph - Broquiès
BOUAT, Abraham - Saint-Rome-de-Tarn
BOUSQUERAT dit Sansfaçon, Guillaume - Rodez
CARRIÈRE, Pierre. - Saint-Aﬀrique
CASTANET, Jean-Baptiste-Marie - Rodez
CAZELET, Pierre - Millau
CHICARD, François - Rodez
CODERRE, Pierre - Connac
CONDAMINE dit Saint-Jean, Jean - Rodez
DEJEAN, Étienne - Millau
DELMAS, Jean - Golinhac
DELPLÉ dit Parizeau, Jean - Rodez
ENJARLAN, Jean - Rodez
FORESTIER dit Léveillé, Pierre - Rodez
FORESTIER, Antoine - Sévérac-le-Château
LA GOUDALIE (de), Charles - Rodez
LABIT, Jacques - Saint-Beauzely
LACOMBE, Jean-Pierre - Saint-Amans-des-Cots
LECOMPTE dit Legascon, Bernard - Rignac
LOUBIER, Joseph - Villefranche-de-Rouergue
MALFAIT, Jean - Rodez
MARRÈS, Guillaume - Drulhe
MONTJEUNONT, Guillaume - Rodez
NIQUET, Etienne - Rodez
PRAT, Louis - Laguiole
PUET ou PUETSCHE dit Louvignac, Jean - Livinhac-le-Haut
SALVAN, Jean - Roquefort-sur-Soulzon
THUBIÈRE DE LÉVY DE QUEYLUS, Gabriel - Privezac
ROQUE, Jacques-Guillaume - Belmont-sur-Rance
