AARON, Barbara - Neuwiller-lès-Saverne
ACKERMAN, Barbe - Gottenhouse
ACKERMAN, Marie-Madeleine - Gottenhouse
ALEXANDRE dit Saint-Pierre, Pierre - Strasbourg
ALEXANDRE, Jean-Charles - La Petite-Pierre
AMRINGER, André-Guillaume - Strasbourg
ANDLAUER, Jean-Michel - Ottrott
BADER, Jean-Baptiste - Haguenau
BATZ ou PADZ, Joseph - Haguenau
BENDER, François-Xavier - Benfeld
BERENHART, Catherine - Schillersdorf
BERENHART, Marie-Anne - Schillersdorf
BEYER ou BAYER, Jean-Georges - Sélestat
BILMER, François - Strasbourg
BIRGH, Jochen - Batzendorf
BOURGEOIS, André - Benfeld
CAPSEL, François-Joseph - Plaine
CHRESPAGHT, Jean-Michel - Mollkirch
CLAUD, Nicolas - Strasbourg
CLERMONT, Joseph - Stutzheim-Offenheim
CLESSE, François - Saint-Blaise-la-Roche
COMMAN, Jean- Baptiste - Strasbourg
CONTANT, Gabriel - Strasbourg
CROSSE dit Saint-Jean, Jean - Strasbourg
DAMILION, Marie - Strasbourg
DAUTH, Gaspard - Rosheim
DE ROCHE, Marianne - Elsenheim
DENEAU, Pierre - Strasbourg
DUPUISIEUX, Jean-Charles - Wissembourg
FELTEN ou VELTEN, Étienne - Wangen
FOLMER, Adam - Bischheim
FRIDERICK, Marie-Catherine - Weyersheim
FRIKER ou FRUKER, Louis - Niedernai
GERMAIN, Jean-François - Ingwiller
HAITE, Christine - Niederhaslach-OBERHASLACH
HANDWERK, Pierre - Oberbronn-Zinswiller
HAYET, Georges - Strasbourg
HÉBRARD, Antoine - Molsheim
HEER (de), Louis-Chrétien - Bouxwiller
HÉLÉNE, Pierre-Louis - Strasbourg
HERBELET ou ERBELE, Jean - Wasselonne
HIRHART, Ève-Marie - Mollkirch
HOLTZSTEIN, Marguerite - Haguenau
HOMENT, Jean - Wingersheim
HORNE, Jacques - Strasbourg
HORNÉ, Jean - Strasbourg
HUOGVINGHER, Marie - Osthoffen
JACOB, Marguerite - Schillersdorf
KINDREMANINE ou KHINDREMANINE, Agnès - Dachstein
KLEIN ou CLEIGNE, Antoine - Schaffhouse-sur-Zorn
LAMBERT ou LAMBE, Catherine - Rosteig
LÉRY, Georges ou Wolfgang - Strasbourg
LESOURD dit Duchesne, Jacques - Strasbourg
LESTINAT, Jean-Frédéric - Sélestat
LÈTE, Nicolas - Furdenheim
LONGBRAY ou LONGPREZ, François - Mutzig
LOUTZ, Étienne - Strasbourg
LOZON, Daniel - Strasbourg
MACKAY, Jean-Baptiste - Strasbourg
MAYER, Chrétien - Wingersheim
MÄYER, Jean - Fegersheim
MEUNIER, François - Fort-Louis
MILLER, François-Jacob - Wissembourg
MITTEPERT, Jean - Dachstein
MOUTARDE ou MUTTART, Balthasar - Strasbourg
NAGLE, Mathias - Lauterbourg
NEBENRICH, Blaise - Niederbetschdorf
NOPPER, Catherine-Marguerite - Strasbourg
NYARD ou NEUHARDINE, Marie-Louise - Strasbourg
PANCRASSE, Marie-Thérèse - Strasbourg
PAVER ou PAUER ou PAUVER ou POWER, Michel - Strasbourg
PETER, Jean - Westhoffen
PICK, Anthoine-Rémy - Strasbourg
POISOT, Rémy - Strasbourg
POUCHAU, Martin - Reutenbourg
RAP, Joseph - Neuwiller-lès-Saverne
REINHART, Marguerite - Ingwiller
ROBLOT, Jean-Thibaut - Haguenau
RODE, Joseph - Strasbourg
RUFFNACH ou ROUFFENACH, Nicolas - Eckartswiller
SCHENAITER (INE), Salomé - Lauterbourg
SCHENK ou SCHINK ou SCHINCKER, Jacques ou Jacob - Haguenau
SCHENK ou SCHINK ou SCHINCKER, Nicolas - Haguenau
SELOZ, Jean - Strasbourg
SEUSS, Johann-Georges - Woerth
STEILLETDER, Georges ou Michel - Kutzenhausen
STERMAN dit La Tulipe, Michel - Kolbsheim
TRICHELY, Henri - Muhlbach-sur-Bruche
DROXLER ou TROXLER, Jean-Georges - Lichtenberg
UILRICH, Barbara - Neuwiller-lès-Saverne
UILRICH, Catherine - Neuwiller-lès-Saverne
UILRICH, Marguerite - Neuwiller-lès-Saverne
UILRICH, Michaël - Neuwiller-lès-Saverne
VALLERY, François - Strasbourg
WAGENSPACH, Marie-Catherine - Schwobsheim
WAGENSPACH, Pierre - Schwobsheim
WAGNER, Georges - Strasbourg
WECHERS, Jean - Gottenhouse
WOLF, Augustin - Niederhaslach-OBERHASLACH
ZINSTEIN, Jonas - Griesheim-sur-Souﬀel
