ALLEMAND, Antoine - Marseille
ALLIEZ, André - Marseille
AMPHOUX (d’) ou DAMPHOUS, Jean-Anselme ou Jean-Baptiste - Simiane-Collongue
ANDRÉ, Louis - Saint-Rémy-de-Provence
ANSELME dit Laliberté, Joseph-Antoine - Arles
ARNAUD dit Marchand, Henri - Marseille
ASTIER, Jean-Pierre - Aix-en-Provence
AUTHEMAN, Etienne - Salon-de-Provence
BARRAS (de), André - Marseille
BELLON, Roland - Martigues
BERNARD, Nicolas - Marseille
BILLION, Barthélemy - Berre-l’Étang
BOUBON ou BOURBON, Jean-Jacques - Marseille
CANORGUE, Antoine - Marseille
CARBONNEAU, Esprit - Aix-en-Provence
CHABERT de JONQUAIRE ou JONCAIRE dit Senonchiez, Louis-Thomas-Ma - Saint-Rémy-de-Provence
CLÉMENT, Pierre - Tarascon
COSTE, François - Martigues
DEBLANC, Césaire - Marseille
DELESTRE, Pierre - Marseille
DERNY dit Larose, Alexandre - Marseille
DOREIL ou d’OREIL, André ou Jean-Baptiste - Aix-en-Provence
DROGUE dit Lajoie, Jean Baptiste - Tarascon
ENFOURS dit Lamoureux, Étienne - Marseille
ESTIENNE du BOURGUET de CLÉRIN (d’), Gilles-Denis - Aix-en-Provence
GABRIEL dit La Charpente, Antoine - Marseille
GIDE dit Saint-Jean, Jean - Bouc-Bel-Air
GIGNIER ou GINIER dit Bellerose, Honoré - Aix-en-Provence
GIRARD, Jean - Marseille
GONDARD, Jean-Baptiste-Barthélemy - Arles
GONSOLIN ou CONSOLIN, François - Marseille
HAUBERT, Jean-Pierre - Aix-en-Provence
INARD dit Le Provençal, Jean - Aix-en-Provence
INARD dit Provençal, Paul - Saint-Rémy-de-Provence
ISOUARD ou ISOARD, dit Provençal, Antoine - Aix-en-Provence
JOUBERT, Jean-Baptiste - Aix-en-Provence
JOURDAIN Antoine ou Pierre - Arles
LABARRIÈRE, Pierre - Bouc-Bel-Air
LANGE, Simon - Marseille
LAURENT dit Provençal, Jean - Marseille
LEJEUNE, Jean-Gilles - Meyrargues
LERICHE dit Lasonde, Jean-Baptiste - Aix-en-Provence
LEROUX dit Provençal, Jean - Marseille
MAILLET, Charles - Marseille
MANNE, Marie-Françoise - Arles
MARTIN, Barthélemy - Marseille
MESPLET, Fleury - Marseille
MINE (de), Jean - Aix-en-Provence
NATTE dit Marseille, Jean - Marseille
NOM, Pierre-Jacques - Marseille
NUIRAT, Jean Jacques - Martigues
OLIVIER, Joseph - Marseille
PLOYARD, Jean-Louis - Marseille
POIGNET dit Beauregard, Marguerite - Aix-en-Provence
PRIMEAU ou GRIMEAU, Jacques - Saint-Savournin
QUÉRET dit Latulipe, Michel - Aix-en-Provence
RAMBAUD Marie-Ursule - Martigues
RENAUD dit Provençal, Louis - Marseille
RIBOULET, Jean - Marseille
ROLLAND, Antoine - Marseille
ROUSSIN, Lazare-Mathieu - Marseille
ROUX ou LEROUX dit Saint-Denis, Denis - Aix-en-Provence
ROUX, Jean-Henry-Auguste - Trets
SAINT-MARTIN (de), Blaise - Aix-en-Provence
SALES ou SALLEZ dit Laviolette, Charles - Marseille
SARREBOURCE de PONTLEROY, Nicolas - Marseille
SEGOND, Joseph - Marseille
SILVY, Antoine - Aix-en-Provence
SIMIOT, Joseph-Laurent - Martigues
TESSIER dit Nicol, François - Marseille
TIRANT dit Provençal, Jacques - Marseille
TRAVALIN ou TRAVANE, Pierre - Marseille
TURC de CASTELVEYRE, Louis - Martigues
VERRIER, Étienne - Aix-en-Provence
