AMONT, Jean - Livarot
ANDRÉ dit Saint-Michel, Michel - La Cambe
AUBERT, Claude - Troarn
AUBERT, Félix - Troarn
AUMONT, Guillaume-François - Saint-Jean-des-Essartiers
BACON, Gilles - Caen
BANNE ou BAN, Gillette - Argences
BANVILLE, Jacques - Noyers-Bocage
BARON, Jacques - Caen
BAUCHER, Jean - Caen
BAZIN, Pierre-Marie - Touques
BEGIN, Jacques - Honﬂeur
BEGIN, Louis - Honﬂeur
BELANGER ou BELLANGER dit Catherine, Nicolas - Touques
BERNIERES (de), Henri - Caen
BERTHELOT dit Leloutre, André - Honﬂeur
BERTHIAUME, Jacques - Thury-Harcourt
BEUZELIN, Catherine - Falaise
BIDELIN dit Lamarche, Jean - Bayeux
BIN dit Lacroix, René - Saint-Rémy
BLAVOT dit Lafontaine, Michel - Caen
BLEAU, François ou Jean - Falaise
BOISANDRÉ (de), Catherine - Caen
BOISANDRÉ (de), Jeanne-Claude - Caen
BOURDON, François - Nonant
BOURGONNIERE, Barthélemy-François - Bayeux
BOYER, Yves - Saint-Michel-de-Livet
BRETON, François - L’Oudon
BRIERE, Jean - Clarbec
BRIERE, Marie - Pont-l’Évêque
BRIERE, Simon - Caen
BRIQUET, Louis - Sainte-Marie-Outre-l’Eau
BUISSON ou BISSON, Pierre - Eterville
CADIEU dit Courville, Charles - Thury-Harcourt
CAPEL, Françoise - Cesny-aux-Vignes-Ouézy
CAREL, Charles - Trouville-sur-Mer
CATTEL, Louis-François - Hamars
CECIRE, Claude - Saint-Gatien-des-Bois
CELLE dit Duclos, Gabriel - Nonant
CHEVALIER, Louis - Caen
CHEVALIER, Michel - Caen
COLARD, François - Lisieux
COLARD, Pierre-Joseph - Honﬂeur
CORDAY (de), Catherine - Thury-Harcourt
CORDIER, Pierre - Trois-Monts
CORNELIER dit Grandchamp, Pierre - Tierceville
COTTON dit Fleur d’épée, Jean - Banville
COUTURIER, Jacques - Gonneville-en-Auge
COUVERT (de), Michel-Germain - Bayeux
CREVET, Marie - Chicheboville
DAGNEAUX D’OUVILLE, Michel - Deux-Jumeaux
DAUBERT, François - Douvres-la-Délivrande
DEBLED, Charles - Caen
DEJARDIN DE RUPALLEY, Marc-Antoine - Castilly
DELAUNAY, Jean - Pont-l’Évêque
DELAY dit Francoeur, Toussaint-Jacques-David - Canchy
DENIS dit Saint-Denis, Jacques - Caen
DESERT, Charles-Joseph - Vire
DESGAGNÉS, Jacques - Ducy-Sainte-Marguerite
DESLANDES, Pierre-Louis - Honﬂeur
DHAIRE, Marie - Beuvron-en-Auge
DIEREVILLE, - Pont-l’Évêque
DOLBEC dit Dufresne, François - Evrecy
DOUBLET, François - Honﬂeur
DRUGEON, Elisabeth - Touques
DUBOIS, Marie - Lisieux
DUCLOS, François - Manerbe
DUCLOS, Jean-Baptiste - Pont-d’Ouilly
DUFOUR, Gabriel-Robert - Lisieux
DUHAUT, Robert - Fourneville
DUMESNIL dit La Musique, Pierre - Bayeux
DUMONT dit Lafleur, Julien - Bernières-le-Patry
EDINE dit Laviolette, François - Montﬁquet
ESTIMAUVILLE (d’), Jean-Baptiste-Philippe - Trouville-sur-Mer
FAFARD dit Laframboise, Bertrand - Hotot-en-Auge
FAFARD, Françoise - Hotot-en-Auge
FAFARD, François - Hotot-en-Auge
FAVERY, Marie - Thury-Harcourt
FEAUTÉ, Pierre - Bayeux
FERRÉ, Thomas - Lisieux
FORTIER, Louis - Bayeux
FOULON, Nicolas - Brucourt
FRANCOEUR dit Lavallée, François - Bonneville-la-Louvet
FRESNEL DE LA PIPARDIERE (de), Joseph-Antoine - Livarot
GARNIER ou GRENIER, Charles - Tournebu
GODEBIN dit Saint-Maurice, Pierre - Bayeux
GOSSELIN, Gabriel - Combray
GOUGET, Catherine - Thury-Harcourt
GOUGET ou GOUGÉ, Jacques - Boulon
GOUPIL dit Laviolette, Nicolas - Le Mesnil-Durand
GRANDRY dit Faverolle, Thomas - Caen
GREFFIN dit Lagiroﬂée, Pierre - Caen
GUAY, Jean - Caen
GUERARD dit Legrap, Martin - Honﬂeur
GUERET dit Dumont, Jacques - Canchy
GUESNEL (de), Anne-Marie - Les Authieux-Papion
GUILBERT, Charles - Les Autels-Saint-Bazile
GUILLOT dit Larose, François - Asnelles
HANCTIN dit Lanqueleur, Elie - Honﬂeur
HEBERT dit Lésperance et Minfret, Antoine - Creully
HENGARD, Gilles - Pont-Farcy
HERISSON (du), Anne - Caen
HEROUX, Guillaume - Canchy
HEROUX dit Bourgainville, Jean - Blonville-sur-Mer
HOTOT, Louis - Honﬂeur
HUBOUT Barbe - Le Mesnil-Durand
HUBOUT, Françoise - Le Mesnil-Durand
HUBOUT, Guillaume - Le Mesnil-Durand
HUBOUT dit Deslongchamps, Mathieu - Le Mesnil-Durand
HIVER ou HYVERT dit Saint-Jacques, Jean-Baptiste - Bayeux
ISABEL, Adrien - Reux
ISABEL dit le Grand Michel, Michel - Reux
JAMME dit Carrière, Pierre - Lantheuil
JANVRIN dit Dufresne, Nicolas - Clécy
JEAN DE GRANDMAISON, Catherine - Le Mesnil-Auzouf
JEHANNE, Pierre - Douvres-la-Délivrande
JOUANNE, Jean - Saint-Germain-du-Crioult
JOURDAIN dit Lafrance, François - Graye-sur-Mer
L’HERMITE, Jacques - Le Breuil-en-Bessin
LA BRETONNIERE (de), Jacques-Quentin - Bayeux
LABELLE, Guillaume - Saint-Benoit-d’Hébertot
LABERGE, Robert - Colomby-sur-Thaon
LALLEMAND, François - Grandcamp-Maisy
LAMBERT DE BAUSSY, Marie-Catherine - Bayeux
LANGLOIS, Jacques - Colombelles
LANIEL, Bonaventure - Sainte-Marie-Laumont
LAUSON, Gilles - Caen
LE COURTOIS DE SURLAVILLE, Michel - Bayeux
LE GOUES DE SOURDEVAL, Sébastien - Bayeux
LE LABOUREUR, Anne - Caen
LE PICARD DU MESNIL DE NORREY, Jacques - Caen
LE POUTREL, Guy - Caen
LE POUTREL, Madeleine - Caen
LE PRINCE dit Sanscartier, Guillaume - Louvigny
LE SUEUR, Jean - Thury-Harcourt
LEBLANC, Georges - Cahagnolles
LEBLANC, Jacques - Pont-l’Évêque
LEBLANC dit Lecourt, Jean - Saint-Lambert
LEBLOND, Nicolas - Honﬂeur
LECANTEUR dit Latour, Guillaume - Beaumont-en-Auge
LECOURS, Michel - Livarot
LEFEBVRE, Pierre - Caen
LEFEBVRE, Robert - Caen
LEFETTEY dit Lamontagne, Jean - Deux-Jumeaux
LEFEVRE dit Ladouceur, Pierre - Villers-sur-Mer
LEFRANÇOIS, Françoise - Ouville-la-Bien-Tournée
LEGARDEUR DE REPENTIGNY, Catherine - Thury-Harcourt
LEGARDEUR DE REPENTIGNY, Jean-Baptiste - Thury-Harcourt
LEGARDEUR DE REPENTIGNY, Marie-Madeleine - Thury-Harcourt
LEGARDEUR DE REPENTIGNY, Pierre - Thury Harcourt
LEGARDEUR DE TILLY, Charles - Thury-Harcourt
LEGARDEUR DE TILLY et REPENTIGNY, - Marguerite Thury-Harcourt
LEGOUÈS, Louis-Joseph - Caen
LEGRAS, Jean - Caen
LEJAMBLE, Pierre - Caen
LEJEUNE, Thomas - Troarn
LELIEVRE, Jeanne - Honﬂeur
LELIEVRE, Guillaume - Honﬂeur
LEMARCHANT, Jacques - Caen
LENEUF, Marie-Anne - Thury-Harcourt
LENEUF DE LA POTERIE, Jacques - Caen
LENEUF DU HERISSON, Marie - Caen
LENEUF DU HERISSON, Michel - Caen
LEPAPE, Pierre - Condé-sur-Noireau
LESAUNIER DE SAINT-MICHEL, Philippe - Clinchamps-sur-Orne
LESENERAC (de), Marguerite - Arganchy
LESUEUR dit la Hogue, Jean-Baptiste - Pont-l’Évêque
LIS, Zacharie - Caen
LIZOTTE, Guillaume - Montviette
LOISELLE, Louis - Bonneville-la-Louvet
LOYSEL, Louis - Courseulles-sur-Mer
LUCAS, Jacqueline - Troarn
LUCAS, Jacques - Port-en-Bessin
MAGNAN, Pierre - Touques
MAJOR, Marie - Touques
MALART dit Laverdure, Gervais - Longues-sur-Mer
MARCHAND, Nicolas - Bayeux
MAUPAS dit Saint-Hilaire, Nicolas - Vaudry
MAURAY, Jean-Baptiste - La Chapelle-Yvon
MEZERAY, René - Thury-Harcourt
MINI, Pierre - Lisieux
MIRAY, Louis - Caen
MOREL, Louis - Amblie
MORIN, Olive - Thury-Harcourt
MOSNY (de), Jean - Grangues
PAIN, Jacqueline - Thury-Harcourt
PAIN, Jean - Thury-Harcourt
PAIN, Jean-Baptiste - Thury-Harcourt
PAIN ou PIN, Marin - Thury-Harcourt
PANTOUX, Pierre - Saint-Aignan-de-Cramesnil
PECQUEREL, Jacques - Vierville-sur-Mer
PEPIN, Robert - Vendeuvre
PERCHEROTTE ou POUCHEROT dit Gamard, Jacques - Honﬂeur
PEULLIER, Pierre - Caen
PHILIPPE DU HAUTMENY, Jean-Vincent - Bayeux
PICARD, Jean - La Villette
PICARD, Pierre - La Villette
PILON, Antoine - Bayeux
PINEL, Nicolas - Campagnolles
POËTE, Polline - Touques
PORTELANCE dit ROY, Jean - Caen
PREMARD, François - Saint-Loup-de-Fribois
QUENTIN dit Lafontaine, Nicolas - Gonneville-sur-Honﬂeur
QUESNEL dit Tourblanche, Olivier - Bayeux
RACINE, Etienne - Fumichon
RAINVILLE (de), Charles - Touques
RAINVILLE (de), Jean - Touques
RAINVILLE (de), Marie - Touques
RAINVILLE (de), Marthe - Touques
RAINVILLE (de), Paul - Touques
RANCOURT, Joseph - Caen
REGNIER dit Rougeau, Claude - Bayeux
RELOT, Catherine - Caen
RENUSSON (de), Catherine - Vire
RENVOISÉ dit sans chagrin, Etienne - Caen
RIQUET dit Laverdure, François - Saint-Léger-Dubosq
ROBERGE, Denis - Saint-Germain-le-Vasson
ROBERGE dit Lacroix, Pierre - Saint-Germain-le-Vasson
ROBERGE dit Lapierre, Pierre - Saint-Germain-le-Vasson
ROBLIN, Pierre - Condé-sur-Ifs
ROCRAY, Jean - Lisieux
ROY, Guillaume - Magny-en-Bessin
ROY dit Roiroux, Pierre - Caen
SAFFRAY DE MESY (de), Augustin - Caen
SAMSON, Gabriel - Saint-Gatien-des-Bois
SAMSON, Jacques - Saint-Gatien-des-Bois
SATIS, Michel - Le Breuil-en-Auge
SAUVAGE, Gilles - Vassy
SEIGNEURET dit Delisle, Etienne - Falaise
SIMON, Guillaume - Honﬂeur
SURONNE (de), Renée - Clécy
TAILLEFER, Pierre - Le Mesnil-Germain
TERRIER DE REPENTIGNY ET FRANCHEVILLE, Marin - L’Oudon
TESTARD, François - Luc-sur-Mer
TOUCHETTE, Simon - Caen
VALET ou LE VALET, Suzanne - Livarot
VANIER dit Lafontaine, Guillaume - Honﬂeur
VERON DE GRANDMESNIL, Jean - Saint-Martin-du-Mesnil-Oury
VIMONT, Barthélemy - Lisieux
VIMONT dit Jolibois, Nicolas - Caen
VOISIN, Louis - Bougy
