ANDRE dit Lafontaine, Antoine - Ussel
BERQUEVILLE (de), Pierre - Molèdes
BESSON, Jean-Baptiste - Pierrefort
BIGOT, Isaac - Saint-Flour
BOISSEAU, Pierre - Aurillac
BOISSY DE, Bertrand-Joseph - Saint-Flour
BOREL, François - Talizat
BOSCHATEL DE LA MARTINIC, Jean-Baptiste - Aurillac
DESCOLOMBIERS, Jacques - Laurie
DUMAIS, Pierre - Jaleyrac
DUMAS, François - Marchastel
FAYET dit Lespérance, Pierre - Murat
GAMOY, François - Aurillac
GENEST, Pierre - Aurillac
LABRANCHE, Jean - Allanche
LAMPE, Jacques - Ruynes-en-Margeride
LESIEUR ou BEAUMONT dit Pistolet, Antoine - Tournemire
MALAFOND, Marien - Saint-Saturnin
MORAND dit Lagrandeur, Antoine - Aurillac
MORANGE, Thomas - Saint-Martin-Cantalès
OLIVIER, Jean - Aurillac
REGIMBALD, Jérôme - Condat
SENEZERGUES DE LA RODDE (de), Etienne - Aurillac
VIDAL dit Labonté, Antoine - Saint-Flour
VIGUIER, Jean - Saint-Flour
