AMIOT, Jeanne - Losne
ARVISET ou ARVISSE, Jean-Baptiste - Saint-Broing-les-Moines
AUBRY, Jacques - Échalot
AUBRY, Jean - Échalot
AUBRY, Jean - Voulaines-les-Templiers
AUBRY, Joseph - Saint-Broing-les-Moines
AUBRY, Simon - Échalot
BAYOLLE, Nicolas - Dijon
BELLORGET, Urbain - Dijon
BERNARD dit Saint-Pierre, Pierre - Saint-Marc-sur-Seine
BLAVIER, Jean-Louis - Trugny
BOLE ou BOLLEY, Lazare - Semur-en-Auxois
BONDY, René - Dijon
BOSSU, Aimé - Marcilly-Ogny
BOSSU, Jean-Bernard - Baigneux-les-Juifs
BOURGEOT, Quentin - Arc-sur-Tille
BRICAU, Hilaire - Dijon
CAZAL dit Lalime, Ambroise - Dijon
CAZELET dit Jolicoeur, Claude - Arc-sur-Tille
CHAILLET, Michel - Cussey-les-Forges
CHALIOT, Pierre - Seurre
CHAUMONOT, Pierre - Sainte-Colombe-sur-Seine
CHAVAUDRET dit Dutalmet, Ursin - Dijon
CHAVERT, Joseph - Seurre
COCHE, Sébastien - Thury
COMEAU, Jean - Pouilly-en-Auxois
COPPIN, Jacques - Aisey-sur-Seine
COURIER, Mathieu - Millery
COUTANT, Jean - Quetigny
DAUTEL, Jean - Saint-Seine-sur-Vingeanne
DELORME dit Deslauriers, Jean-Baptiste - Til-Châtel
DERECLAINE, Jean-Bernard - Dijon
DESNOYERS, Denis - Dijon
DUGUAY, Jacques - Semur-en-Auxois
ISTIVALETTE ou ESTIVALET, Germain - Grancey-le-Château-Neuvelle
FLECHET, Anne - Saint-Sauveur
FLEURIER, Claude - Fontaine-Française
FOURNIER, Claude - Pouilly-en-Auxois
GABAT, Alexandre - Saulieu
GAUDIN dit Chastillon, Pierre - Châtillon-sur-Seine
GAUDIO dit Vadeboncoeur, Symphorien - Pouillenay
GAUTHIER, Jeanne - Beaune
GODARD, Anne - Bèze
GODARD, Anne - Bèze
GODARD, Claude - Bèze
GODARD, François - Bèze
GODARD, François - Bèze
GOLLIOT ou GOILOT dit Bourguignon, François - Beurey-Bauguay
GROTON dit Saint-Ange, Robert - Châtillon-sur-Seine
GUIOT, Jehan - Dijon
HENAULT, Georges - Châtillon-sur-Seine
HENRY dit Laforge, Vincent - Marcenay
HENRY, Edmé - Laignes
HUMBELOT ou IMBLEAU, Luc - Maisey-le-Duc
HYECHTIER ou BERLHIER, Jehan - Dijon
JEAN, Alexis - Saint-Jean-de-Losne
JEUDELET, Jean-Baptiste - Grignon
JUNEAU, Pierre - Dijon
LARCHER, Jacques - Dijon
LEFOURNIER DUVIVIER, Henri-Jules - Dijon
LEGARDEUR dit Sansouci, Michel - Chanceaux
LORTAT, Thomas - Semur-en-Auxois
MALLARD ou MALAIR, Simon - Commarin
MANTENET, Jean - Nesle-et-Massoult
MARCEREAU, Antoine - Montbard
MARTINET DE FONBLANCHE, Jean - Moutiers-Saint-Jean
MASSON, François - Chaume-et-Courchamp
MENACIER, Louise - Sainte-Colombe-sur-Seine
MEREAU, Jean - Vieilmoulin
MERLIN, Simon - Dijon
METRAY dit Alexis, Alexandre - Gilly-lès-Citeaux
MÉZIÈRES, Pierre-François - Villotte-sur-Ource
MICHAUD, François - Dijon
MICHELIN, Pierre-François - Marey-sur-Tille
MICHELIN, Claire - Marey-sur-Tille
MICHELIN, Elisabeth - Marey-sur-Tille
MICHELIN, Gabrielle - Marey-sur-Tille
MICHELIN, Joseph - Marey-sur-Tille
MICHELIN, Nicolas - Marey-sur-Tille
MICHELIN, Pierre - Marey-sur-Tille
MIGOT, Georges - Dijon
MILLION dit Saint-Jean, Jean-Baptiste - Bonnencontre
MILOT dit Quéret, Antoine - Saint-Broing-les-Moines
MILOT, Pierre - Saint-Broing-les-Moines
MILOT, Vorlette - Vanvey
MILTON dit Flavigny, Jean-Baptiste - Moutiers-Saint-Jean
MOINE, François - Pagny-la-Ville
MONIN, Hugues - Auxonne
MOREAU, Jean-Baptiste - Dijon
MUIRON, David-Bernard - Arcenant
NOISE dit Belair, Jean - Lux
O’NEIL ou ONELLE, François - Talmay
O’NEIL ou ONELLE, Pierre-Ignace - Talmay
PILLET dit Paris, Guy - Dijon
PAULENET, Charlotte - Dijon
PERICAUD, Jehan - Dijon
PERRAULT, Nicolas - Darcey
PERRAULT, Pierre - Darcey
PETIT, Antoine - Duesme
POTOT DE MONTBEILLIARD, François-Fiacre - Semur-en-Auxois
QUÉNET, François - Champagne-sur-Vingeanne
RAIMBAULT dit Saint-Louis, Jean-Baptiste - Brion-sur-Ource
RENAUD, Elisabeth - Saint-Euphrone
RENAUDEAU, Judith - Alise-Sainte-Reine
RICHER, Georgette - Chailly-sur-Armançon
ROBICHON, Jean-Nicolas - Rochefort-sur-Brevon
ROBIN, Jean - Semur-en-Auxois
ROSE dit Belhumeur, Jean - Missery
ROZEROT, André - Dijon
RUEL dit Saint-Jean, Jean-Hubert - Vernois-lès-Vesvres
SARRAZIN, Michel - Gilly-lès-Citeaux
SEGOILLOT, Emilian - Châtellenot
THIBAULT, Robert - Boux-sous-Salmaise
THOMAS, François - Seurre
TIRENIZ, Antoine - Créancey
TORTOCHAUD, Anne - Vaux-Saules
TORTOCHAUD, Louis - Vaux-Saules
TORTOCHAUD, Jeanne - Vaux-Saules
TRIPIER, Pierre - Millery
VERNETTE, Nicolas - Dijon
VERREAULT, Barthélemy - Dijon
