ALEN (d’), Jean - Hautefort
ARNAUD dit Saint-Jean, Jean - Périgueux
AUMAITRE ou OMAITRE ou HOMET dit Saint-Pierre, Pierre - Saint-Rabier
BALAN dit Lacombe, Pierre - Cantillac
BARBARY dit Grandmaison, Pierre - Thiviers
BARDET dit Lapierre, Pierre - Périgueux
BAZINET dit Tourblanche, Antoine - La Tour-Blanche
BEAU, Etienne-Antoine - Château-l’Évêque
BELLEAU dit Larose, Blaise - Queyssac
BELLET dit Gazaille, Jean - Sarrazac
BENOIT, Anne - Saint-Aulaye
BERGERON dit Larose, Jacques - Bouteilles-Saint-Sébastien
BERTHIER, Issac-Alexandre - Bergerac
BOURGEOIS dit Laverdure, Antoine - Périgueux
BOURGOIN, Pierre - Saint-Michel-de-Double
BOUTIRON dit Lacombe, François - Nontron
BRUN dit Saint-Antoine, Pierre - Le Pizou
BRUNET dit Lafaye, François - Périgueux
BUY dit Lavergne, Laurent - Saint-Jean-de-Côle
CALAIS ou CALÉS, Charles - Bigaroque
CARRIER, Léonard - Beauronne
CHAMPOUX dit Jolicoeur, Pierre - Eymet
CHASTENAY ou CHATENET dit Laguigne, Jean - Sarlande
CHATIGNON dit Lacouture, Philippe - Trélissac
CHATIGNY dit Lépine, Vincent - Bézenac
CHAUSSÉ dit Lemaine, Pierre - Mialet
CHAVAUTEAU, Pierre - Douchapt
CHEVALIER dit Marquet-Périgord, François - La Chapelle-Gonaguet
CHICOU dit Duvert, Pierre - Saint-Marcel-du-Périgord
CLUSEAU dit Lorange, Jean - Nontron
COUSINEAU, Jean - Jumilhac-le-Grand
CHANTAL dit Laﬂeur, Pierre - Bergerac
DELAGE, Hugues - Beleymas
DELGUEL ou DEZIEL dit Labrèche, Jean - Doissat
DELGUEL ou DEZIEL dit Labrèche, Pierre - Doissat
DELPE dit Saint Cerny ou Sincerny, François - Rouffignac-Saint-Cernin-de-Reilhac
DELUCY, Jean - Vanxains
DESFORGES dit Saint Maurice, Jean - Saint-Georges-de-Montclard
DESMONTS dit Périgord, Léonard - Cherveix-Cubas
DEXTRA dit Lavigne, Pierre - Sarrazac
DUBORD dit Lafontaine, François-Guillien - Thiviers
DUBREUIL dit Félix, Jean - Bourdeilles
DUMANS, Jean - Saint-Martial-d’Albarède
DUPUIS dit Jolicoeur, Pierre - Saint-Astier
EYMERY dit Coderre, Thony - Sarrazac
FAURE dit Saint-Vivien, Moïse - Saint-Vivien
FAYOL dit Marquis, Jean - Ribérac
FERRÉ, Alain - Saint-Front-d’Alemps
FILY, Marc - Douchapt
FOUCAULT, Jean-François - La Roche-Chalais
FOUCET (de), Joseph-Alexandre - Beaumont
GARIGOU, Marcial - Castelnaud-la-Chapelle
GAZAILLE dit Saint-Germain, Jean - Sarrazac
GIGNARD, Pierre - La Rochebeaucourt-et-Argentine
GODINON, Jean - La Roche-Chalais
GOURDON dit Lachasse, Jean - Montrem
GRASSET dit Sansregret, Marc - Périgueux
GRISÉ dit Villefranche, Antoine - Villefranche-du-Périgord
GUIRE dit Laprairie, Sicaire - Thiviers
GUIRE dit Larose, François - Thiviers
GUYON, Jean - Bertric-Burée
JACOTI dit Beausoleil, Jean - Saint-Martial-d’Albarède
JOACHIM dit Laverdure, Bernard - Milhac-d’Auberoche
JOYAL dit Bergerac, Jacques - Bergerac
LACOMBE, Jean - Saint-Cybranet
LAPORTE dit Saint-Georges, Pierre - Périgueux
LAURENT dit Saint-Laurent, Pierre - Périgueux
LECOMTE dit Bellegarde, François - Brantôme
LÉGER LA GRANGE, Jean - Abjat-sur-Bandiat
LEGROS dit Saint-Laurent, Elie - Mareuil-sur-Belle
LESIÈGE dit Lafontaine, Pierre - Sarlat-la-Canéda
LIBERSAN dit Laviolette, Léonard - Razac-sur-l’Isle
MARTIN dit Ladouceur, Pierre - Bergerac
MASSIOT, Jean-Baptiste - Fossemagne
MAZIÈRES ou MEZERAY dit Deguerre, Jean - Montagrier
MERCIER dit Lépine, Antoine - Bézenac
MERDIEU ou MEDIEU dit Bourbon, Jean - Saint-Front-d’Alemps
MEYZONNAT ou MAISONNAT dit Baptiste, Pierre - Bergerac
MICHEL dit Saint Léger, Jean - Busseroles
MORTESEIGNE dit Labonté, Thomas - Thiviers
NERVAUX dit Poitou, Nicolas - Saint-Aulaye
OUVRARD ou OUVRADE, Jean-Arnaud - Bergerac
PAINCHAUD, François - Tourtoirac
PALANGE dit Beauséjour, Jean - Saint-Crépin-d’Auberoche
PARÉ, Robert - Soulaures
PARSEILLE ou PARSALIER ou PARADIER, Etienne - La Chapelle-Montabourlet
PASSERIEU dit Bonnefond, Pierre - Chalais
PEDEMONTE dit Laﬂeur, Pierre - Notre-Dame-de-Sanilhac
PERSON dit Lafond, Nicolas - Anlhiac
PONTBRIANT (de), Claude - Issac
POUGET dit Grisdelin, Jean - Villamblard
RALLE dit Montauban, Jean - Saint-Séverin-d’Estissac
RICHARD dit Larose, Bernard - Saint-Martial-d’Albarède
ROBIN, Pierre - Saint-Pardoux-et-Vielvic
RODE, Pierre - Sigoulès
ROUSSET dit Beaucourt, Pierre - La RocheBeaucourt-et-Argentine
SAINT-CHRISTOPHE (de) dit Lajoie, Christophe - Saint-Martial-d’Albarède
SALIGNAC DE FENELON, François - Aubeterre-sur-Dronne
TAMISSIER, Pierre - Saint-Antoine-de-Cumond
TINON dit Deslauriers-Desroches, Emard - Montignac
TIROUET, François - Saint-Martin-de-Fressengeas
VERT, Raymond - Saint-Martial-d’Albarède
LAFOSSE, Jean-Baptiste - Vergt
