ARINART, Anne - Gisors
AUBERY, Joseph - Gisors
BARETTE ou BARRETTE, Guillaume - Beuzeville
BARETTE ou BARRETTE, Jean - Beuzeville
BEQUET, François - Pont-Audemer
BERTRAND dit St Arnaud, Paul-Jean - Verneuil-sur-Avre
BISSOT Sieur de la Rivière, François - Pont-Audemer
BLAU, Alexis - Evreux
BORDEAUX (de), Philippe - Gisors
BOUTHIER, Guillaume - Vernon
BOUTRET dit Dubois, Jacques - Heudicourt
CHERON D’ICARVILLE, Pierre-François-Noël - Louviers
COLOMBE, Louis - Le Neubourg
DAUPHRESNE, Denis - Evreux
DELACHENAYE, Prosper - Pont-Audemer
DELAMARE, Louis - Pîtres
DELISLE dit St Eloi, Jacques-Philippe - Evreux
DESHAYES, Jean-Pierre Casimir - Evreux
DULONG, Richard - Lieurey
DUMESNIL, Richard - Evreux
DURUE, Paul - Vernon
FLAMBART, Pierre - Harcourt-Chrétienville
FORTIN dit La Grandeur, Louis - Ecardenville-sur-Eure
FOSSE ou DUFAUSSAY, Jeanne - Evreux
FRENET ou FERNET, Michel - Sainte-Marguerite-de-l’Autel
FRESSEL, Isabelle - Nonancourt
GIRARD, Anne - Le Vaudreuil
GIRARD, Marie - Le Vaudreuil
GIRARD, Joachim - Le Vaudreuil
GIRARD, Marie - Le Vaudreuil
GOSSET dit Dubuisson, Jean-Baptiste - Pont-Audemer
GRIVERAND, Guillaume - Beuzeville
GROUARD dit La Rose, Richard - Flancourt-Catelon
GROUVEL, Martin - Caumont
GUEROULT, Jacques - Montreuil-L’Argillé
HIANVEU ou YENVEU dit la France, Mathieu - Gisors
ITASSE, Marguerite - Saint-Siméon
JACQUELIN, Jean-François - Bourg-Achard
JOBIN, Charles - Amfreville-sous-les-Monts
JOBIN, Jean - Amfreville-sous-les-Monts
JOBIN, Françoise - Amfreville-sous-les-Monts
LAMBERT, Pierre - Fourmetot
LARCHER, Jean-Baptiste-Adolphe - Irreville
LAT ou LELAT, Pierre - Ecouis
LEBEL, Nicolas - Illeville-sur-Monfort
LE BER, Anne - Pîtres
LE BER, François - Pîtres
LE BER dit La Rose, Jacques - Pîtres
LECOUTI dit Léveillé, Laurent - Epaignes
LEFEBVRE, Edmond - Bacqueville
LEFEBVRE Sieur du Chouquet, Louis - Bacqueville
LEMONNIER, Louis - Evreux
LEMOULEUR dit Jolicoeur, Philippe - Heudebouville
LEMOYNE ou LEMOINE Sieur de Sainte-Marie, Jean - Pîtres
LEMOYNE ou LEMOINE, Pierre - Pîtres
LETELLIER, Etienne - Pîtres
LETELLIER ou TELLIER, Nicolas - Pont-Audemer
LOURSE, Antoine - Lieurey
MARC, Louis - Saint-Denis-des-Monts
MARETTE dit Lépine, Jacques - Flancourt-Catelon
MERCIER dit Caudebec, Pierre - Barneville-sur-Seine
METAYER dit La Giberne, Pierre - Le Neubourg
METOT, Abraham - Pont-Audemer
MEZIERE (de), Charles-François - Boisset-les-Prévanches
MORIN, Pierre-Louis - Nonancourt
PARFOURU (de), Marcel-Louis - Morainville-Jouveaux
PETIT dit St Pierre, Pierre - Evreux
PIERRE-COT (de) Sieur de Franque, Louis-Audet - Bourg-Beaudouin
PIERRE-COT (de) Sieur de Bailleul, Richard-François - Bourg-Beaudouin
POIRE ou POREE, Laurent - Appeville-Annebault
POURVEU dit La Fortune, Noël - Guichainville-Bérou
PREVOST, Pierre - Vernon
PREY, Nicolas - Appeville-Annebault
QUELLEVE, Jeanne - Evreux
RIOULT ou ROU, Madeleine - Evreux
ROUEN, Michel - Amfreville-sous-les-Monts
ROUSSEL, Charlotte - Evreux
ROUSSEL dit Tranchemontagne, François - Beaumont-le-Roger
SAINTARD, Catherine - Vernon
SEGLAS dit Bélair, Etienne - Louviers
SIREUDE dit Lamarre, Jacques - Conches-en-Ouche
SOREL dit Marly, Pierre - Léry
TETU, Madeleine - Les Andelys
THOUIN dit La Liberté, Michel - Beaubray
TOUGAS ou TOUGARD dit Laviolette, Guillaume - Fatouville-Grestain
TREFFLE dit Rotot, François - Routot
VARIN, Catherine - Criquebeuf-la-Campagne
