BARJETTON DE MONTREDON (de), Jacques - Uzès
BERTRAND, Pierre - Aulas
BIGONESSE dit Beaucaire, Jean - Nîmes
BOISLE ou BAILLE dit Printemps, Simon - Carsan
BONNEL dit Lalancette, Pierre - Saint-Gilles-du-Gard
BORET, Joseph - Pont-Saint-Esprit
BRUNEL dit Lagiroflée, Louis - Saint-Hippolyte-du-Fort
CHABRAND DELISLE, David. - Anduze
CHABRIER dit Vadeboncoeur, Jean - Maruejols-les-Gardon
CHAPOTON, Jean - Bagnols-sur-Cèze
CHASTANG, François - Nîmes
CHETOUCHE dit Vadeboncoeur, André - Langlade
CIQUARD, François - Langlade
CLAPIER dit Aimable, Simon - Domazan
CLAPIER, Simon - Uzès
CORNIER (de), Etienne - Saint-Hippolyte-du-Fort
DELMAS, Martin - Sumène
DRULHON, Louis - Alès
DUFOUR dit Montpellier, Jean - Nîmes
DUMAS dit Sansregret, Antoine - Nîmes
DUPUY DE LISLOIS, Paul - Beaucaire
EVENTUREL, François - Beaucaire
FAUCON, Antoine - Vezenobres
FERRIERE, Pierre - Sumène
FOURNIER dit L’Esprit, Claude - Pont-Saint-Esprit
FRESCHE-PECHE dit Lalancette, Jean - Saint-Alexandre
GRASSET dit Lagrandeur, Joseph - Aramon
HARDOIN dit Lajeunesse et Belhumeur, Henri - Nîmes
JULIEN dit Saint-Julien, Antoine - Alès
JULIEN, Jean - Nîmes
LACOSTE dit Languedoc, Alexandre - Saint-Julien-de-Cassagnas
LAURENT, Gilles - Nîmes
LEONARD, Louis - Alès
LIRAC BONAVENTURE DE RESTAURAN, Joseph - Pont-Saint-Esprit
MARTIN dit Languedoc, Jean - Saint-Come-et-Maruejols
MENARD dit Brind’amour, Jean-Baptiste - Saint-Hippolyte-du-Fort
MONAST, MONNA dit Jolicoeur, Louis-Alexendre - Aulas
MONTCALM (de), Louis-Joseph - Vestric-et-Candiac
OLIVIER, Laurent - Saint-Maurice-de-Cazevieille
PASTOUR DE COSTEBELLE, Philippe - Saint-Alexandre
PASTOUR DE COSTEBELLE, Louis - Saint-Alexandre
PERROT ou PAROT, Albert - Aulas
PLANTIER dit Saint-Esprit, François - Pont-Saint-Esprit
PRAT, Louis - Nîmes
RENE, Jean - Nîmes
RICARD DE LA CHEVALERAY, Balthazar - Aigues-mortes
TRIAIRE dit Lavigueur, Pierre - SAINT-ANDRÉ-DE-MAJENCOULES
VIALA, Pierre - Saint-Martial
RESTAURANT DE FONBONNE, Louis - Pont-Saint-Esprit
SORBIER DE VILLARS, François - Uzès
VALET, Jean-Baptiste - Pont-Saint-Esprit
VERDET dit Laverdure, Guillaume - Nîmes
