AUGRAN dit Lapierre, Pierre - Larroque-Engalin
AUSSION dit Petit, Dominique - Barran
BARRANQUET, Jacques - Masseube
BEFFRE dit Leboeuf, Pierre - Aignan
BERGÈRES DE RIGAUVILLE (des), Nicolas-Blaise - Estampes
BERRY, Paul - Fleurance
BERTRAND dit Toulouse, Jean-Baptiste - Saint-Lizier-du-Planté
BRANET dit Ducas, Bernard - Saint-Brès
CARLE ou KERLE dit Lalancette, Jean - Miradoux
CASAVANT dit Ladébauche, Jean - Auch
CASSAIGNOLLES, Blaise - Manciet
CASSENEUVE, Joseph - Saint-Martin-de-Goyne
CASTAGNET, Jean-Baptiste - Eauze
CASTILLON, Thomas - Auch
COMETTE, Joseph - Lanne-Soubiran
COMMARTIN dit Saint-Joseph, Joseph - Beaumarchés
COMMARTIN dit Saint-Martin, Martin - Lectoure
D’ESPIET DE PENSENS, Pierre-Paul - Aignan
DANSERRE dit Sanschagrin, François - L’Isle-Jourdain
DAUJEAN, Jean - Montpézat
DAUNAIS dit Lagiroﬂée, Antoine - Bétous
DÉBARAS, Joseph - Saint-Jean-le-Comtal
DELONG dit Duchemin, Arnaud - Castelnau-d’Auzan
DELORT, Guillaume - Auch
DELORT, Guillaume - Fleurance
DENIORT dit Jolicoeur, Jacques - Cassaigne
DEVÈSE, Dominique - Barran
DROUILLET dit Lateulère, Jean - Goutz
DRULLET ou DROUILLET, Simon - Condom
DUBERGE, Jean-Bernard - Callian
DUBOIS, Jean-Baptiste - Viella
DUFAULT, Pierre - Verlus
DULEAU dit La Violette, Guillaume - Brugnens
DUPUIS dit Beauregard, Antoine - Roquebrune
DUPUY, Etienne - Vic-Fezensac
DUTOUR, Antoine - L’Isle-Jourdain
DUTOUR, Antoinette - Condom
FANASSE, Dominique - Auch
FAVRE ou FAURE dit Monferran, François - Monferran-Savès
FOURNEL, Jean - Auch
FRANCHE dit Saint-Jean, Jean - Lombez
GERMAIN, Pierre - Espas
GRANET, François - Marciac
GUIGNAS, Michel - Condom
JONCAS ou JUNQUA dit Lapierre, Pierre - Maurens
LABAT DE SIVRAC, Louis-Simon ou Louis-Nicolas - Condom
LABAT, Guillaume - Lectoure
LABORDE dit Sansregret, Jean-Baptiste - Lartigue
LABORDE, Jean - Lalanne-Arqué
LACOUR dit Laforme, Jean-Raymond - Cologne
LAGOANIÈRE, Blaise - Masseube
LAGRANGE dit Sanschagrin, Jean - Lamothe-Goas
LALANNE dit Champagne, Pierre - Saint-Michel
LALANNE, Joseph - Monties
LANOUGÈRE (de), Thomas - Mirande
LAPERCHE dit Saint-Jean, Jean-Baptiste - Saint-Martin-de-Goyne
LAPIERRE dit Francoeur, François - Mauléon-d’Armagnac
LAVERGNE ou LAVERGNIE, Ambroise - Aux-Aussat
LÉBE, Jean-Jacques - Fleurance
LIXAUTE ou LIXANTE, Louis - Condom
LOUBERT ou LOUBÈRE, Pierre - Vic-Fezensac
MAILLOT dit Laviolette, René - Castet-Arrouy
MARSAN, Jean - Manciet
MASSON, Jean - Castéron
MAUFIN, Pierre - Auch
MELLIS (de), Antoine - Fleurance
MOIGNARD, Jean-Baptiste - Noilhan
MOLÈRE ou MOLLEUR dit Lasonde, François - Barran
MONASTESSE dit Jolicoeur ou Leitoure, Jean - Flamarens
MONBETON DE BROUILLAN (de), dit St-Jean Jacques-François - Bourrouillan
MONBETON DE BROUILLAN (de), dit Saint-Ovide Joseph - Bourrouillan
NAUERES, jean - Plaisance
NEZAC dit Charpentier, Pierre - Condom
PANDELET dit Plaisance, Pierre - Plaisance
POITEVIN, Jean - Condom
PREISSAC D’ARLENS (de), Jean-Gérard - Maravat
PREISSAC DE BONNEAU (de), Louis - Maravat
RIGAUD, Jean - Lectoure
SAMAZIN, Blaise - Saint-Léonard
SENAT, Jean - Condom
SERRE, Alexandre - Saramon
SOU KER, Jean - Nogaro
SQUERRE dit Labbé, Jean-Baptiste - Auch
TARRIDE DUHAGET, Robert - Estang
TORD, Jean-Baptiste - Lectoure
TREMOULET dit Saint-Léonard, Pierre - Saint-Léonard
VARRIEU, Dominique - Auch
VARRIEU, Jean - Auch
VIGNOLAS, Louis - Lombez
ZACHARIE, Blaise - Manciet
