AMIOT ou AMIAULT, Raymond - Toulouse
ANDRILLON, Bernard ou André - Fos
BAZER, Louis - Plaisance-du-Touch
BEDEL dit Saint-Georges, Georges. - Baziège
BERTIN dit Languedoc, Bernard - Toulouse
BEZANAIRE dit Prêt-à-boire, Jean ou Louis - Rieumes
BLAISE dit Sanscartier, Germain - Avignonet-Lauragais
BONNET, Jean-Baptiste - Saint-Paul-sur-Save
BONNET, Pierre - Cassagnabère-Tournas
BORDONCLE (de), Rose - Toulouse
BOUSQUET dit Larose, Joseph - Toulouse
BRUYÈRE, Jean-Bernard - Toulouse
CABASSIER ou CABAZIÉ, Pierre - Toulouse
CADIEUX ou CADILLIN dit Toulouse, Antoine - Saint-Lys
CASSENEUVE dit Toulouse, Guillaume-Alexis - Toulouse
CASTAGNET, Laurent ou François - Toulouse
CONSTANTIN, Jean-Pierre - Toulouse
CREMAZY, Jacques - Artigue
CRESSAC dit Toulouse, Pierre - Toulouse
DAUBAN dit Saint-Jean et Sanscartier, Pierre - Toulouse
DECOUSSE DE RIBEAUDIN, Bernard - Toulouse
DEJEAN, Philippe - Toulouse
DELUBAC dit Saint-Jean, Jean-Louis - Toulouse
DESPIT dit Saint-Amant, Jean-François - Toulouse
DESTREMPES, Jean-Baptiste - Bordes-de-Rivière
DUBOIS, Antoine - Toulouse
DUCHENOIS dit Lajoie, Étienne - Toulouse
DUCLOS dit Bellerose, Jean-François - Toulouse
DUFAULT, Bernard - Toulouse
DUGUAY, Jean - Saint-Sulpice-sur-Lèze
FABAS dit Saint-Germain, Guillaume - Toulouse
FITTE, Jean - Fenouillet
FORGUES dit Monrougeau, Jean-Pierre - Montréjeau
GENEST, André - Toulouse
GIROUX dit Toulouse, Pierre - Toulouse
GOUNON, Simon-Pierre - Toulouse
GUILLAUME ou GUION dit Beausoleil, Jean - Saint-Ignan
HUGUET, Simon - Toulouse
JAYAT, Jean-Étienne - Toulouse
LA MAISONFORT DU BOISDECOURT (de), Alexandre - Toulouse
LABADIE, Pierre - Toulouse
LABAT, Jean-Marie - Toulouse
LABONTÉ, François - Rieux
LACHAUME, Pierre ou Jean-Pierre - Sepx
LAFOND dit Lagrenade, Guillaume - Grenade
LAFOND, Jean - Saint-Paul-d’Oueil
LAFORGE dit Laﬂeur, François - Saint-Lys
LASSUS dit Marsilly, Joseph - Saint-Bertrand-de-Comminges
LATOUR (de), Louis-Bertrand - Toulouse
LOUBET dit Toulouse, Philippe - Toulouse
MARTIN ou MARTY dit Sansoucy, Jean - Toulouse
MERCURE dit Villenouvelle, François - Villenouvelle
MONTY, Jean - Saint-Bertrand-de-Comminges
PALOSSE dit Sanschagrin, Pierre - Toulouse
PARIS dit Thomas, Pierre - Toulouse
PARIS, André - Toulouse
PARIS, Antoine - Toulouse
PUJOL, Jean - Frouzins
RASTOUT dit Vadeboncoeur, François - Toulouse
RIGAL dit Lajeunesse, Jean-Raymond - Toulouse
RIGAUD DE VAUDREUIL (de), marquis de Vaudreuil, Philippe - Vaudreuille
RIVAL ou RIVARD dit Toulouse, René - Toulouse
ROUJAS, Jacques - Montgazin
SABATIER, François - Gauré
CARRÈRE dit Lavictoire, Pierre - Cazères
SELLE dit Sanscartier ou Beauregot, Jean - Toulouse
SÉNARD dit Desjardins, Michel - Alan
SOLLE, Jean - Saint-Bertrand-de-Comminges
SOUBRE dit Saint-Jean, Jean-Baptiste - Toulouse
STÈNE, Pierre - Saint-Félix-Lauragais
TREMOULINE dit Laviolette, Jean - Toulouse
TURIER dit Provençal, Barthélemy - Loudet
VIGNE dit Toulouse, Pierre - Toulouse
