AGRAIN (d’), Jean-Antoine - Le Puy-en-Velay
ALLOUES, Jean-Claude - Saint-Didier-en-Velay
BARLET, Jacques - Saint-Didier-en-Velay
BAYARD, Jacques - Sembadel
BELLUC dit Bellerose, Claude - Le Puy-en-Velay
BERGEREAU ou BERGERON, Pierre - Craponne-sur-Arzon
BISAILLON, Benoît - Saint-Jean-d’Aubrigoux
BISAILLON, Etienne - Saint-Jean-d’Aubrigoux
BISAILLON, Michel - Saint-Jean-d’Aubrigoux
BISAILLON, Pierre - Saint-Jean-d’Aubrigoux
BOURDEAU, Pierre - Saint-Jean-d’Aubrigoux
BOURG dit Lachapelle, Antoine - La Chapelle-Bertin
BREUL, Jean-Baptiste - Ceaux-d’Allègre
BROSSE, Pierre - Saint-Martin-de-Fugères
CARON, Claude - Saint-Jean-d’Aubrigoux
CARON, Louise - Saint-Jean-d’Aubrigoux
CARON, Marie - Saint-Jean-d’Aubrigoux
CARON, Vital - Saint-Jean-d’Aubrigoux
CHABANEL, Noël - Saugues
DIDIER, Claude - Le Puy-en-Velay
DRUSSON ou DROUSSON, Robert - Bonneval
DUDEVOIR, Claude - Saint-Didier-en-Velay
FAILLE ou FAYE, Mathieu - Saint-Jean-d’Aubrigoux
GERMAIN, Joseph-Louis - Le Puy-en-Velay
GILBERT dit La Montagne, Antoine - Le Puy-en-Velay
GIROGUE, Vital - Saugues
LEBLANC, Pierre - Auzon
MAZOUE, Jean-Baptiste - Saint-Paul-de-Tartas
MESNY ou MESNIL, Claude - Saint-Jean-d’Aubrigoux
MORAND, Pierre - Saint-Jean-d’Aubrigoux
NIOF dit Lafrance, Georges - Le Puy-en-Velay
ORIOL, Vital - Saint-Victor-sur-Arlanc
PERRIN, Antoine - Le Puy-en-Velay
QUATRESOLS ou QUATRESOUS, Damien - Saint-Jean-d’Aubrigoux
VARENNE, Jean-Pierre - Le Puy-en-Velay
