BAILLY de MASSIN, Nicolas - Montreuil-sur-Thonnance
BERGER, Jean-François - Châteauvillain
BESCHE, Marie - Chaumont
BRUFFAUT, Antoine - Rançonnières
BRUNO - Langres
CASENEUF ou CAZELET dit Jolicoeur, Claude - Arc-en-Barrois
CHAMPAGNE ou CHAMPAIGNE, Nicolas - Dancevoir
CHAPUT, Denise - Chalancey
CHAPUT, Suzanne - Chalancey
CHARPENTIER, Antoine - Neuilly-sur-Suize
CHAVIGNY (de), François - Châteauvillain
CHEVRIER dit Lajeunesse, Joseph - Rizaucourt-Buchey
CHIRISTOPHE - Chaumont
COINTA, Louis - Langres
COLIN dit Laframboise, Jean - Coublanc
COLNOT ou COLNIAU, Louis - Braux-le-Châtel
CONSIGNY dit Sansfaçon, François - Rizaucourt-Buchey
CORDIER, Gabriel - Saint-Thiébault
CORDIER, Catherine - Saint-Thiébault
CORDIER, Elisabeth - Saint-Thiébault
COROIX, Jeanne - Chaumont
COUTURIER dit Bourguignon, Pierre - Arc-en-Barrois
CUNY D’AUTRIVE, Philippe-Antoine - Langres
DARCHE dit Lartiﬁce, Barthélemy - Bourbonne-les-Bains
DECHARNEY, Jean-Baptiste - Langres
DEGRÉ dit Laliberté, Nicolas - Aigremont
DEGREZ, Didier - Langres
DIDIER dit Parisien, Simon - Langres
DOLEBEAU, Jean - Langres
DORIOCOURT, François - Dommartin-le-franc
DUBOIS, Georges - Tornay
DUCHEMIN, Jeanne - Chaumont
DUFOUR, Claude - Serqueux
DUPAS, Pierre - Brachay
ESPRIT, Claude - Ninville
EUSÉBE - Chaumont
EVRARD, Madeleine - Saint-Thiébault
FAUCONNET, Joseph - Saint-Dizier
FREBY, Antoine - Saint-Thiébault
FREROT, Claude - Langres
GEOFFROY, Nicolas - Arbot
GIRARDOT ou GIRARDEAU, Laurent - Colmier-le-Haut
GOREAU ou GOIREAU dit Bellerose, Claude - Rolampont
GOUBILLEAU, Françoise - Chaumont
GUENY ou GUENI, Antoinette - Praslay
HENRY, Michel - Giey-sur-Aujon
HENRY, Édmé - Saint-Dizier
HÉRARD ou ÉRRARD, Pierre - Aulnoy-sur-Aube
HIARDIN, Marguerite - Joinville
JANIS, Hubert - Langres
JOBERT, Jean-Baptiste - Langres
JEAN dit Latulippe, Claude-Alexis - Chaumont
LAPIERRE, Jean-Baptiste - Breuvannes-en-Bassigny
LEMAITRE, Jean-Baptiste - Bussières-lès-Belmont
LEROUGE, Jeanne - Joinville
MAHOU Jeanne - Saint-Dizier
MANCE, Jeanne - Langres
MARGUERITE, Jean - Langres
MATÉE, Étienne - Coublanc
MENETRIER, Pierre - Rançonnières
MILOT, Nicolas - Villiers-le-Sec
MONGENOT ou MONGINO, Simon - Varennes-sur-Amance
MORISSEAU, François - Chamarandes-Choignes
NIVARD dit Saint-Dizier, Pierre - Saint-Dizier
OLIVIER DE VEZIN, Pierre-François - Aingoulaincourt
PARIZEL, Jean-François - Langres
PERRAULT, Étienne - Saint-Urbain-Maconcourt
RICHARD, Louise - Langres
RICHARD ou BELMONT, Jean-Baptiste - Vitry-en-Montagne
ROUELLE ou RUEL ou HERUEL, Édmé - Larivière-Arnoncourt
SAINT-VINCENT (de), Pierre - Narcy
SALVA, Jean - Brennes
SEMIT, François - Chaumont
SERRE, Jean - Rivière-le-Bois
TISSERAND DE MONTCHERRAUT, Jean-Baptiste-François - Langres
TURBAR ou THURBART, Ursule-Madeleine - Chaumont
SIMONET DE LABERGEMENT, Jacques - Colmier-le-bas
