BOICHUT, Claude-Antoine - Pesmes
BOUVERET, Étienne - Argillières
CAISSE, François - Seveux
CAMPENET, Jean-Claude - Vaux-le-Moncelot
CARRY, Pierre - Gray
CHAPUT, Nicolas - Noidans-lès-Vesoul
CHASSEY, Anne-Marie - Combeaufontaine
CHASSEY, Catherine - Combeaufontaine
CHASSEY, Françoise - Combeaufontaine
CHASSEY, Jean - Combeaufontaine
CHASSEY, Jeanne-Baptiste - Combeaufontaine
CHASSEY, Sébastien - Combeaufontaine
CHAVERT, Joseph - Saulx-de-Vesoul
COMIREY, Antoinette - Percey-le-Grand
COMIREY, Nicolas - Champlitte
COMIREY, Pierre - Percey-le-Grand
COUTURIER, André - Champlitte
DEBOUT, Antoine - Pontcey
DIERRE, François - Dampierre-sur-Salon
DOUGE, Joseph - Saint-Remy
FLEUROT, Paul - Port-sur-Saône
FONTENOY, François - Cornot
FOURNIER, Joseph - Lieffrans
FRANÇOIS, Joseph - Cuve
GLORGET, Jean-Claude - Grandvelle-et-le-Perrenot
GRANDGUILLAUME, Claude-Etienne - Vesoul
GRANDMAÎTRE, Élisabeth - Combeaufontaine
GRANDMAÎTRE, Jean-Nicolas - Combeaufontaine
GUENONT, Joseph - Vellexon-Queutrey-et-Vaudey
GUILLAUME, Valentin - La Côte
GUYOTTE, Étienne - Gray
HUGIN, Antoine - Saponcourt
HUOT, Didier - Cintrey
JACQUET, Jean - La Chapelle-lès-Luxeuil
JARROT, Nicolas - Le Val-Saint-Éloi
JORAM DE LASSUS, Jean-Charles - Adelans-et-le-Val-de-Bithaine
LATARTRE, Hubert-François - Grandvelle-et-le-Perrenot
LECOMTE, Antoine-François - Selles
LENFUMEY, Joseph - La Villeneuve-Bellenoye-et-la-Maize
LODS, Jean-Georges - Héricourt
MARANDET, Dominique - Villers-lès-Luxeuil
MARCHAND, Pierre - Beaujeu-Saint-Vallier-Pierrejux-et-Quitteur
MARTIN, Gabriel - Pierrecourt
MILLOT, Jean-Baptiste - Gray
MILOT, Pierre-Nicolas - Granges-le-Bourg
PASCHAL, Nicolas - Percey-le-Grand
PASQUIER, Jean-Pierre - Vesoul
PERNET, Julienne - Percey-le-Grand
QUATREFAGES, Pierre - Scey-sur-Saône-et-Saint-Albin
RABARON, Pierre-François - Breurey-lès-Faverney
ROUSSE, Hugues - Villers-lès-Luxeuil
ROUSSEL, François - Vesoul
SENTIER, François - Vesoul
SENTIER, Pierre - Vesoul
SIMBLER, Claude-François - Champlitte
SOMMIER, Nicolas - Courtesoult-et-Gatey
SORDOILLET, François - Cugney
TARDY, Marguerite - Aillevillers-et-Lyaumont
THÉRIOT, François - Ormoy
TORTEY, François - Combeaufontaine
VIDOT, Pierre - Valay
VIROT, Claude-François-Louis - Colombier
VURPILLOT, Pierre - Champey
