ADAM, May - Saint-Jean-Ligoure
AUBUSSON (d’), Antoine - Limoges
AUDIBERT dit Lajeunesse, Etienne - Limoges
BARDOUX, Martial - Laurière
BARETEAUX, Jean-Baptiste - Châteauponsac
BARGEAT, Joseph - Limoges
BÉCHARD, René - Les Cars
BERNARD, Guillaume - Ambazac
BESSE dit Francoeur, Jean - La Roche-l’Abeille
BONIN, Louis - Limoges
BONNEAU dit Blondin, Pierre - Limoges
BOUDOR, Jean - Limoges
BOYER dit Jolicoeur, Anicet - Limoges
BRIÈRE, Jean - Sussac
BROSSEAU, Léonard - Limoges
CAILLOU ou CAILLAULT dit Le Baron, Jean - Limoges
CATIN, Léonard - Mailhac-sur-Benaize
CHAIGNEAU, Léonard - Limoges
CHAPELON dit Beausoleil, Pierre - Limoges
CHAUMEREAU, François - Saint-Jean-Ligoure
CHEVAUDIER dit Lépine, Jean - Saint-Junien
CONTREMINE, Jean-Baptiste - Limoges
COTTI ou LECOUTY dit Ladouceur, Nicolas - Saint-Pardoux
COUSSE ou COUSSY dit Laﬂeur, Pierre - Limoges
COUSTERON, André - Saint-Brice-sur-Vienne
DELAGE dit Lafeuillade, Jean-Baptiste - Limoges
DELORME dit Sanscrainte, Pierre - Chaptelat
DEPERET, Elie - Limoges
DERENE ou MELET ou MELOT, Pierre - Saint-Bonnet-de-Bellac
DERNAJOU, François - Oradour-sur-Glane
DIEUDEPART, Jean-Baptiste - Limoges
DONNEAU, Pierre - Limoges
DOUHET DE LA RIVIERE, Jean - Limoges
DOUVIER, Simon - Mézières-sur-Issoire
DRUILLETES, Gabriel - Limoges
DUBOIS, François - Saint-Yrieix-la-Perche
DUBOIS, Jean - Saint-Bonnet-de-Bellac
DUFAULT ou MOREAU dit Lamarche, Léonard - Saint-Hilaire-Bonneval
DUFAY dit Lamarche, Nicolas - Limoges
DUMAST dit Beauséjour, Jean - Le Dorat
DUMAY, Jean - Limoges
DUMONT dit Laviolette, François - Limoges
DUMONT, Jean - Cognac-la-Forêt
DUPRE, Claude - Limoges
DUPUIS, François - Saint-Laurent-sur-Gorre
DURAND, Joseph-Augustin - Limoges
FAUCHER dit Saint-Maurice, Léonard - Limoges
FOURNEAU dit Brindamour, Jean - Limoges
GARREAU, Léonard - Saint-Yrieix-sous-Aixe
GAY DESENCLAVES (de), Jean-Baptiste - Limoges
GIROUX dit Saint-Marcel, Etienne - Saint-Martial-sur-Isop
GOISNEAU, Charles - Limoges
GRANDJEAN, François - Châteauponsac
GRATIS, Pierre - Cognac-la-Forêt
GUYONNET, Louis - Saint-Mathieu
JUDIC dit Rencontre, François - Limoges
LABETOLLE dit Limousin, Simon - Blond
LABRIANCE, Léonard - Pierre-Buﬃère
LAJUDIE, Jean-Baptiste - Limoges
LALANDE dit Latreille, Léonard - Magnac-Laval
LAMOTHE, Pierre - Limoges
LAPARDIE, Martial - Cussac
LAURIAULT ou LORIOT, Jean - Cognac-la-Forêt
LAVERGNE, François - Limoges
LAVERGNE (de), Louis - Mézières-sur-Issoire
LECHAGNE, Jean - Limoges
LEGRAND, Jean-Baptiste - Châteauneuf-la-Forêt
LUCAS ou LUCOS dit Bardot, Léonard - Aureil
MAILLOT, Jean - Limoges
MARCHAND, Louis - Bussière-Poitevine
MARECHAL dit Dubois, Marguerite - Thouron
MATHIEU dit Laramée, Jean - Saint-Sornin-la-Marche
MERCIER dit Sansregret, Joseph - Mézières-sur-Issoire
MOULAISON, Gabriel - Limoges
NADEAU, Michel - Pageas
NAVIERES, Joseph - Limoges
NEVERS ou REVER, Louis - Saint-Laurent-sur-Gorre
PAGE, François - Pierre-Buﬃère
PAILLARD dit Poitevin, Léonard - Bersac-sur-Rivalier
PATRY, Jean - Limoges
PÉRINEAU dit Lamarche, Jacques - Saint-Bonnet-de-Bellac
PINEAULT dit Larigueur, Pierre - Saint-Junien
PLASANET dit Lépine, Thibault - Les Salles-Lavauguyon
POUILLI, Jean - Limoges
PRUNEAU, Jean - Limoges
RAGOT, Anne - Limoges
RAYMOND, François - Le Dorat
REGEAS, Jean - Maisonnais-sur-Tardoire
RIGAUD dit Saint-Jean, Jean - Limoges
RINGUET ou TESSIER dit Laplante, Mathieu - Cognac-la-Forêt
ROBERT, André - Breuilaufa
ROBY dit Sanschagrin, Jean - Fromental
ROCHE dit Lafontaine, Jean - Limoges
ROUMIHAT ou ROULHILAT, François - Châteauponsac
RUFRANGE ou RUFIANGE dit Laviolette, Bernard - Saint-Amand-le-Petit
SALOMON, François - Blond
SALOMON, Léonard - Blond
SANTOIRE, Gérard - Limoges
SAUSSIGOT ou SANSSIGOT ou SIGOT, Jean - Blond
SAVARY, François - Cognac-la-Forêt
SEGUIN, Jacques - Peyrat-de-Bellac
SUIRE, André - Sainte-Marie-de-Vaux
TOUREAU, Denis - Fromental
VIGNAUX, François - Limoges
VILFAYE, André - Mézières-sur-Issoire
