BONIFACE, Étienne - Briançon
BOUAT ou BONNAIN dit Laviolette, Joseph - La Saulce
BOUREL ou BOREL dit Sansquartier, François - Sigoyer
CHAMBAUD, Jean-Pierre - Rambaud
COTTON, Barthélemy - Briançon
DUBOIS, Joseph-Henri - Briançon
DUSSAULT de LA CROIX, Joseph - Gap
LAFOND, Jean - Gap
PONCET dit Larose, Étienne - Embrun
RABY, Pierre - La-Salle-les-Alpes
RASTEL de ROCHEBLAVE (de), Ambroise - Savournon
RASTEL de ROCHEBLAVE (de), Augustin-Alipe - Savournon
RASTEL de ROCHEBLAVE (de), Philippe-François - Savournon
RASTEL de ROCHEBLAVE (de), Pierre-Louis - Savournon
RASTEL de ROCHEBLAVE (de), Simon - Savournon
