BARTHE, Théophile - Tarbes
CAZELLAR DE BERRY, Jean-Baptiste - Bagnères-de-Bigorre
COLLONGUES, Dominique - Galan
DUBARRY, Guillaume - Campan
DUCURON, Pierre - Castelnau-Rivière-Basse
DUPONT, Vital - Lourdes
DUTHU, Jean-Paul - Bagnères-de-Bigorre
GALLIEN, Guillaume - Tarbes
LABORDE, Jean-Baptiste - La Barthe-de-Neste
LAHAILLE, Jean-Baptiste - Tarbes
LAROCQUE, Antoine - Trie-sur-Baïse
LOUIS dit Saint-Louis, Jean - Tarbes
MALEDOUZE ou BELLEDOUSSE, Jean - Tarbes
MASSY, Jacques - Saint-Laurent-de-Neste
PLANTE, Bernard - Tarbes
SAMOSET, Dominique - Lahitte-Toupière
SAMOSET, Jacques ou James ou Pierre ou Charles - Lahitte-Toupière
SENDOT, Basile - Lascazères
SENEIT ou CUIELLES dit Lafourcade, Louis - RABASTENS-de-Bigorre
VIGNAU, Jean-Raymond - Bagnères-de-Bigorre
VIGNAU, Marc-Antoine - Bagnères-de-Bigorre
