ALBERT dit Laramée, Pierre - Pézenas
ASTRUC dit Sanscartier, Alexis - Béziers
AUDRAN, Pierre - Péret
BENAUSSE, Antoine - Siran
BERNIAC dit Lafleur, François - Montpellier
BERTRAND, Jacques - Montpellier
BLAIS DE LAFERANDIERE, Jean - Villeneuve-les-Béziers
BOURILHON, Jean-Philippe - Lunel
CAILLA ou QUESLA, Jacques - Montpellier
CAZELET dit Languedoc, Jean-Baptiste - Montpellier
CHABOYON ou CHAMAILLON, Jean-Baptiste - Béziers
CLAPAREDE, Jacques - Montpellier
CLAPAREDE, Jean - Viols-le-Fort
COMET, Noël - Béziers
CONTERY, Jean. - Lunel
CORBIERE dit Languedoc, Joseph - Montpellier
DAUBRESPY DE LAFARELLE, Pierre-Philippe - Montpellier
DAUPHIN dit Marchand, Pierre - Agde
DESTORCHES ou DESTROSSES dit Beziers, Pierre - Béziers
DONAT dit Laverdure, Martial - Montpellier
DUFOUR dit Montpellier, Jean - Montpellier
DUPUIS dit Montpellier, Joseph - Montpellier
DUPUIS, Antoine - Montpellier
ESTEVE, François - Montpellier
FABRE, Raymond - Montpellier
GAUDET dit Saint-Louis, Jean - Béziers
GERMAIN (De), Joseph - Montpellier
GISQUET dit Bezier, Antoine - Béziers
GRASSET DE SAINT SAUVEUR, André - Montpellier
GREGOIRE, François - Montpellier
GUILBERT, Jean-Raymond - Lodève
GUION ou GUILLAUME, Jean - Saint-Chinian
HUCQUE dit Cornelier ou Sanrémission, Grégoire - Béziers
JALBY dit Jolibois, Jacques - Causses-et-Veyran
JORDAN, André - Cazouls
JOURDAN ou JORDAN, Louis - Béziers
JOUSSERON, Albert-Pascal - Montpellier
L’HOPITAL (De), Antoinette-Charlotte - Poussan
LAFAGE dit Dufour, Joseph - Lunel
LEBLANC, Antoine - Clermont-l’Hérault
LONGUEVILLE, Simon - Montpellier
MAILLOUX dit Larose, Pierre - Aniane
MALAFOSSE dit Dauphin, Pierre - Montpellier
MARCAUREL dit Lafeuillade, Jacques - Saint-Vincent-d’Olargues
MARTIN dit Montpellier, Antoine - Montpellier
MASCLE DE SAINT-JULHIEN, Jean - Lunel
MASSAL, Jean-Pierre - Péret
MONTPEZAT dit Beausoleil, Bernard - Béziers
NOUVEL, Henri - Pézenas
PHETICE, François - Béziers
PLANIOL (de), Antoine - Montpellier
PLANTAVIT DE LAPAUSE, Jean-Guillaume - Pézenas
PORTAIS, André - Saint-Thibéry
RAMEL, Jacques - Montpellier
REILH, Antoine - Montpellier
RENAUD ou ARNAUD dit Locas, Pierre - Boujan-sur-Libron
ROMIEUX dit Romulus ou Remus, Pierre ou Peter - Béziers
ROUSSEL, Timothée - Montpellier
TAJEAT dit Lagrandeur, Jean - Marseillan
THIBAULT dit Lagrandeur, Jean - Maureilhan
TOUSSELIER dit Languedoc, François - Montpellier
TRANCHANT, Antoine - Béziers
VIDAL dit Pignan, François - Pignan
VIE, Jean-Baptiste - Agde
