AUDIRAC dit Beausoleil, Dominique - Dax
AURESTEIL, Mathieu - Saint-Martin-de-Hinx
BATZ ou BASSE dit Laﬂeur, Pierre - Tartas
BAUZET, Simon - Habas
BEDARD, Pierre - Saint-Vincent-de-Tyrosse
BEIQUE dit Laﬂeur, Jacques - Saint-Martin-de-Hinx
BERGERON, Dominique - Vieux-Boucau-les-Bains
BÉZIER ou BESSIÈRE dit Samsoin, Jean-Baptiste - Mont-de-Marsan
BOUJOM ou BOUZOU (de), Jean - Amou
CAME sieur de Saint-Agne, Amable-jean-Joseph - Labastide-d’Armagnac
CARDENAU, Bernard - Gamarde-les-Bains
CASENAVE, Bernard - Grenade-sur-l’Adour
CASSAIGNOLLES ou CASSAIGNOL, Antoinette - Mont-de-Marsan
DAGERT ou DAGEST, Jean - Castaignos-Souslens
DAGUERE, Jean - Ygos-Saint-Saturnin
DARET, Arnaud - Ygos-Saint-Saturnin
DARAC, Jean-Baptiste - Saint-Paul-lès-Dax
DESBROSSES, Bertrand - Argelos
DUBES, Jean-Baptiste - Ygos-Saint-Saturnin
DUMANCIN dit Doro, Arnaud - Dax
GARIÉPY, François - Montfort-en-Chalosse
GOURGUE, Paul - Mont-de-Marsan
LA BROUCHE ou LABROUSSE ou LABRANCHE ou LABEAUCHE, Pierre - Tartas
LABARTHE dit Tartas, Louis - Tartas
LABORDE (de), Pierre - Saint-Étienne-d’Orthe
LAFORCADE (de), Bernard - Saint-André-de-Seignanx
LAMOTHE dit Laramée, François - Saint-Sever
LARUE dit Bayonne, Jean-Baptiste - Latrille
LASSERRE, Pierre - Geaune
LAVIELLE, Pierre - Capbreton
LOUPRET, Jean-Baptiste - Saint-sever
MATHON, Joseph - Saint-Sever
ROUSSEL, Mathieu - Saint-Sever
SERRE, Alexandre - Soorts-Hossegor
SOUPIRAN, Simon - Saint-Sever
SUBRECASSE (de), Antoine - Dax
