BARDY, Claude - Ouches
BOUTON, Antoine - Saint-Just-en-Chevalet
DENIS, Jacques - Saint-Symphorien-de-Lay
DESGARETS DE GARNIER, Guillaume-Marie - Mars
DESROSIERS, Antoine - Renaison
DUBORD, Jean - Saint-Chamond
FAVRE, Benoît - Saint-Chamond
FICHER ou FICHET dit Vadeboncoeur, Thomas - Montbrison
FORT, Jean - Firminy
FROMAGE, Pierre - Saint-Étienne
GREYZOLON DE LA TOURETTE, Claude - Saint-Germain-Laval
GREYZOLON DULUTH, Daniel - Saint-Germain-Laval
LATOUCHE DE MACARTY, Charles - Saint-Sauveur-en-Rue
LECOINTRE ou LECOMPTE dit Laviolette, Guy - Roanne
MANGIN, François - Charlieu
PANNETON dit Leﬁfre, Claude - Renaison
PARÉ, Robert - Saint-Laurent-Rochefort
RAJAT ou RAGEOT, Etienne - Saint-Cyr-les-Vignes
RIEUTORD, Jean-Baptiste - Grammond
RIVIÈRE, Claude - Roanne
CHOREL, François - Saint-Romain-en-Jarez
