ARGUIN François - Cherré
AUBRY, Thomas-Guillaume - Clefs
AUGER, Pierre - Angers
AVARD, Pierre - Baugé
BARRIÈRE, René - Longué-Jumelles
BEAUMONT, Jean - Villemoisan
BELISLE, Henri - Angers
BÉNARD ou BESNARD, Marie-Barbe - Saint-Lambert-du-Lattay
BÉNARD dit Deslauriers, René - Sarrigné
BERGEVIN, Jean - Angers
BERTHIER, Michel - Saumur
BERTRAND, Mathurin - Saint-pierre-Montlimart
BERTRAND, René - Baugé
BEZEAU, Pierre - Angers
BEZEAU, Marie-Renée - Angers
BLONDEAU, François - Saumur
BLOUARD, Mathurin - Roussay
BODINAUD, René - Chavagnes-les-Eaux
BOIVIN, Jacques - Jarzé
BORY, Roland - Angers
BOTQUIN, Pierre - Saumur
BOUFFANDEAU, Jean - Cholet
BOURBELON, Mathurin - Angers
BOUVET, Jean - Baugé
BOYER, Etienne - Fontaine-Milon
BRANSARD, Laurent - Chemillé
BRENEZE, François - Saumur
BRODIÈRE, Joseph - Saumur
BRUNET, Jean - Angers
CARTIER, Guillaume - Drain
CARTIER, Jacques - Pruillé
CASSE, Antoine - Doué-la-Fontaine
CHABOT, Renée-Jeanne - Saint-Georges-sur-Loire
CHARLERY, François - Durtal
CHAROT, René - Angers
CHARTIER, Vincent - Angers
CHÂTEAU, André - Brigné-sur-layon
CHEVALIER, René - Jarzé
CHOLET, Sébastien - Aubigné-sur-Layon
CHONARD, Pierre - Doué-la-Fontaine
CLAVEAU, Joseph - Saint-Aubin-de-Luigné
COUTANCEAU, Louis - Candé
COUTARD, Jean - Angers
COUTELEAU, Maurice - Saint-Pierre-Montlimart
CRÉPIN, Claude - Dampierre-sur-Loire
CUREAU, Etienne - Angers
CUREAU, Martin - Angers
DAVEAU, Charles - Angers
DAVIAU, Julien - Saint-Germain-des-Prés
DAVIAU, René - Doué-la-Fontaine
DAVID, Jean - Angers
DOLBEAU, Jean - Angers
DUBOIS, René - Bourg-L’Évêque
DUCHESNE, Gabriel - La Renaudière
DUPUY, Jean - Angers
DUROCHER, Joseph - Angers
DUTARTRE, François - Angers
DUVEAU, Michel - Saumur
ESNAULT, Philippe - Chênehutte-Trèves-Cunault
FLIBOT, Charles - Angers
FONTENEAU, Jean - Saumur
FORGET, Jacques-François - Candé
FRANQUELIN, Jean-Baptiste - Villebernier
FRESLON, Jacqueline - Angers
GAGNON, Noël - Soulaire-et-Bourg
GALLARD, Charlotte - Angers
GASNAULT, Mathurin - Martigné-Briand
GASTÉ, Louis - Cholet
GAULTIER DE LA VÉRENDRYE, René - Bécon-les-Granits
GEORGES, René - Étriché
GERBAULT, Christophe - Saumur
GIRARD, Urbain - Blaison
GODAIRE, Guillaume - Angers
GOUPIL, René - Saint-Martin-du-Bois
GRIMARD, Elie - Cholet
GUERTIN, Louis - Daumeray
GUICHETEAU, François - Beaufort-en-Vallée
HADDE, François - La Membrolle-sur-Longuenée
HAMELIN, François - La Daguenière
HAMELIN, Louis - La Daguenière
HAMELIN, Nicolas - La Bohalle
HARDY, Marie-Anne - Angers
HERBIERS DE l’ETENDUÈRE (des), François-Henri - Angers
HERVÉ, Jean - Jallais
HOUSSAS, Claude - Le Plessis-Grammoire
HUDON, Pierre - Chemillé
HUOT, Mathurin - Marans
JARRY, Georges - Grez-Neuville
JOUTEAU, Jean-François - Andigné
LAIGNEAU, Mathieu - Tiercé
LA TROCHE (de), Marie - VIHIERS-LE-VOIDE
LEDUC, René - Brézé
LÉGER, Jean - Fontevraud-l’abbaye
LEJUMEAU DE LANAUDIÈRE, Renée - Blou
LEMAY, Michel - Chênehutte-Trèves-Cunault
L’ENFANT, Jean - Angers
LEPARC, Louis - Saumur
LE PRÊTRE, Jacques - Le Louroux-Béconnais
LÉVESQUE, Pierre - Doué-la-Fontaine
LINIÈRE, Jeanne-Anne-Marie - Sainte-Gemmes-sur-Loire
LOUVOIS, Jacques - Vihiers-Le-Voide
MAILLET, Marie - Saumur
MALBEUF, Jean-Baptiste - Angers
MALLARD, Joseph - Beaufort-en-Vallée
MANSEAU, Pierre - La Pommeraye
MARANDA, Etienne - Saumur
MARCOURT, Louis - Baracé
MARTIN, François - Durtal
MARTIN, Gabriel - Saint-Georges-sur-Loire
MARTIN, Michel - Durtal
MARTIN, Pierre - Durtal
MASSÉ, Jacques - Cholet
MAUDOU, Aubin - Doué-la-Fontaine
MÉRIENNE, Jean - Thouarcé
MERLET DE LA BOULAIS, Hardouin - Chemillé
MOQUIN, Mathurin - Saumur
MORAND, Jacques - Montreuil-sur-Maine
NAULT, François - Turquant
PAISNEAU, René - Montjean-sur-Loire
PAQUET, Louis - La Romagne
PARÉ, Jean - Angers
PAROISSIEN, Michel - Saumur
PÉTRIN, François - Grez-Neuville
PILET, Jacques - Sermaise
POIRIER, Pierre - Grez-Neuville
PORTAIL de GEURON, Daniel - Saint-Florent-le-Vieil
PROTEAU, Etienne - Montreuil-Bellay
PROU, Jean - Saumur
RABOUIN, Michel - Saint-Georges-des-Sept-Voies
RAVELET, Jean-Baptiste - Morannes
RICHER, Jean-Pierre - Angers
RICHER, Pierre-Daniel - Angers
RUFFIN de la MARANDIÈRE, Pierre-Thomas - Saint-Rémy-la-Varenne
RUHOT, René - Gennes
SAUVAGEAU, René - Saumur
TALBOT, Jacques - La Plaine
THIBAUT, Mathurine - Saumur
TOUCHET, René - Thorigné-d’Anjou
VACHER, Guy - Angers
VACHER, Jean-Guy - Angers
VANDAL, François - Vernantes
VARY, Charles - Chalonnes-sur-Loire
VERRIER, Pierre - La Varenne
