ALLART, Germain - Sézanne
ANDRE ou DUPONT, Philippe - La Neuville-au-Pont
APERT, Jacques - L’Épine
AUBRY, Angélique - Châlons-en-Champagne
AUBRY, Jacques - Châlons-en-Champagne
AUBRY, Marguerite - Châlons-en-Champagne
AUBRY, Simon - Châlons-en-Champagne
AUMASSON DE COURVILLE, Louis - Sainte-Menehould
AVELINE, Jacques - Saint-Just-Sauvage
BARIL, Marie - Reims
BESCHEFER, Thierry - Châlons-en-Champagne
BILLOT, Lucrèce - Orbais-L’Abbaye
BOIVIN, Louis - L’Épine
BOTSON, Claude - Châlons-en-Champagne
BOUQUILLON, Jean - Saint-Hilaire-le-Petit
BRIQUET, Nicolas - Vitry-le-François
CANTIN, François - Angluzelles-et-Courcelles
CATIN, Henri - Vouzy
CHAMELOT, Léonard - Saint-Martin-L’Heureux
CHAMPENOIS, Jean-Baptiste - Reims
CHAMPY, Gélase - Sézanne
CHARTRANT, Louis-François - Sézanne
CHEVERLY, Laurent - Vitry-le-François
COLIN, Marie-Rose - L’Épine
COLLET, Claude - Châlons-en-Champagne
COLLOT, Georges - Châlons-en-Champagne
CURÉ, Nicolas - Vitry-le-François
DELIÈGE, Louis-Rémi - Fismes
DESNOYERS, François - Châlons-en-Champagne
DUFAYE, Françoise - Reims
DURAND, Pierre - Sézanne
DUVEURE, Nicole - Châlons-en-Champagne
FAQUIER, Joseph - Châlons-en-Champagne
FOURCHET, Marie-Anne - Épernay
FOUREUR, Pierre - Reims
FRANÇOIS dit Frère Luc, François - Sézanne
FRANÇOIS dit Lafontaine, Jean-François - Fontaine-en-Dormois
FREMIN, Jacques - Reims
FREMONT, Jean-Baptiste - Reims
FRONTIGNY ou MECHIN, Pierre - Belval-sous-Châtillon
GÉRARD, Jean-Baptiste - Reims
GLOUTENET, Nicolas - Cheminon
GOYER, Geneviève - Châlons-en-Champagne
GUICHARD dit Lasonde, Jean - Vitry-le-François
GUILLEMET, Nicolas - Nesle-le-Repons
HAIDEMARS, Pierre - Minaucourt-LE-MESNIL-LES-HURLUS
HANNEGRAVE, Pierre - Pévy
HENAULT, Louis - Champlat-et-Boujacourt
JOLY, Étienne - Épernay
JOYBERT (de), Pierre - Soulanges
JUSELIN ou INSELIN, Louis - Condé-sur-Marne
LARQUET, Nicolas - Reims
LEJEUNE, Gérard - Châlons-en-Champagne
LEJEUNE, Paul - Vitry-le-François
LEMONDE, Jean-Baptiste - Charmont
LEPOYVRE, Pierre - Reims
LEROUX, Hubert - Vitry-le-François
LÉVÊQUE, Jacques - Venteuil
MACLIN, Marguerite - Sézanne
MATHIEU, Catherine - Châlons-en-Champagne
MAUPASSANT, Eustache - Châlons-en-Champagne
MENECLIER DE MONTROCHAND, Nicolas - Corroy
MERCIER, Madeleine - Reims
MAIZIÈRES DE MAISONCELLES, Armand-François - Grauves
MILOT, Pierre - Villers-le-Sec
MONVOISIN, Françoise - Épernay
MOUCHARD, Jacques - Champlat-et-Boujacourt
NOËL, Pierre - Sézanne
OUIMET, Jean - Vrigny
PAREMANT, Perrette - Saint-Pierre
PIERON, Nicolas - Châlons-en-Champagne
POLONCEAUX, François - Hermonville
PROULX, Nicolas - Châlons-en-Champagne
PUCET ou PUCELLE dit Champagne, Édmond - Châtelraould-saint-louvent
PUSSOT, Jean - Reims
RICHARD, Pierre - Condé-sur-Marne
ROBERT, Nicolas - Saint-Hilaire-le-Petit
ROY, Pierre - Reims
ROYER Nicole - Montépreux
SAINT-ÉTIENNE DE LA TOUR, Charles - Saint-Just-Sauvage
SENEZ, Nicolas - Vitry-le-François
TALON, Jean - Châlons-en-Champagne
TARON, Jean-louis - Sainte-Menehould
TRONSSON-DUCOUDRAY, Philippe - Reims
VALENTIN, Pierre - Châlons-en-Champagne
VALLÉE, Perrette - Châlons-en-Champagne
VARLET, François - Vertus
VERON, Pierre - Châlons-en-Champagne
VIVIEN, Marie-Rose - Châlons-en-Champagne
