ALIX, Toussaint - Lesménils
ANDRÉ, Jacques - Herserange
ANTOINE dit St-Antoine, Nicolas - Ville-au-Val
AUBRY, Nicolas - Cirey-sur-Vezouze
BALTAZAR, Martin - Saint-Maurice-aux-Forges
BARTHÉLEMY, Joseph - Fresnois-la-Montagne
BARTHÉLEMY, Joseph - Vallois
BEAUTRIN dit Bienvenue, Charles - Lunéville
BERGER, Jeanne - Crion
BERNARD dit Beauséjour, Nicolas - Grand-Failly
BLEZIN dit Beausoleil, François - Nancy
BOLUS dit Vadeboncoeur, Nicolas - Domptail-en-l’Air
BRISSON puis BLAMONT, Nicolas - Badonviller
CARMOUCHE, Jean - Pont-à-Mousson
CARRÉ, Pierre - Nancy
CHAILLÉ, Jeanne - Nancy
CHAILLY dit Chaly(de), François - Nancy
CHARPENTIER dit Lagiroﬂée, Marc - Toul
CHARPENTIER, François - Raucourt
CHEF ou CHEVRE dit Vadebocoeur, Joseph - Landremont
CLEMENT dit Lapointe, Jean - Nancy
COLLIN dit Jasmin, Jacques - Landremont
COMPARET, François - Custines
DANLOUP ou DANLEAU, Elisabeth - Joppecourt
DANNESSE ou DAMISE dite de Longchamp, Ester ou Anne-Philippe - Nancy
DELEUZE, Nicolas - Toul
DROUIN ou DEROUIN dit St-Jean, Jean-Baptiste - Joeuf
ÉTIENNE, Claude - Gelacourt
FLEURANT, Sébastien - Vézelise
FLEURICOUR, Jean - Nancy
FOURQUIN, Joseph - Vitrey
FRANÇOIS dit Saint-François, Germain - Vaudémont
GALLERAN, Guillaume - Franconville
GEORGES ou GEORGET dit Lunéville, Nicolas-Joseph - Lunéville
GOUVION dit l’Ainé (de), Jean-Baptiste - Toul
GRUZELIN, Marie-Anne - Nancy
HENRI dit Ladouceur, Charles-Benoit - Nancy
HENRY ou HANRY dit St-Pierre, Pierre - Vennezey
HUTINET, Jean-Baptiste - Amance
LACAILLE, Nicolas - Favières
LAHURE, Nicolas - Longwy
LEBRUN, Martin - Toul
LEGRAND dit Dufresne, Grégoire - Fraines-en-Saintois
LEGRAND dit Dufresne, Jacques - Fraines-en-Saintois
LELIÈVRE, Françoise - Nancy
LESONT, Anne - Nancy
LIEBAULT, François-Joseph - Nancy
LOMBART ou LOMBARD, Charles - Villers-la-Montagne
LONGER ou LONGET ou LAGET dit St-Pierre, Pierre - Nancy
LOURDAIN, Pierre-Joseph - Nancy
MAGNY, Jean-Charles - Toul
MAIREJACQUES ou MERJAC dit Olivier, Nicolas - Courbesseaux
MANGEON (de), Claude - Dommarie-Eulmont
MANSUY ou MONRENCY dit Saint-Martin, Dominique - Jarville-la-Malgrange
MARCOL, Gabriel - Nancy
MICHEL, Nicolas - Nancy
MILLOT, Charles - Maixe
MONBLEAU, Pierre - Nancy
NOIRCLAIR, Nicolas - Nancy
PARISOT ou PARISEAU, Martin - Lebeuville
PLAID ou PLET d’Argencourt, François - Gerbéviller
POIRSON ou POISSON, Jean-Baptiste - Repaix
PRUNIER, Martin - Malzéville
RAVENEL de Lalime, Christophe - Nancy
RIVAT dit Bellerose, Jean - Fraimbois
ROLLAND dite Gabrielle d’Assonville, Nicole - Nancy
ROTH, Joseph - Longwy
ROUYERE ou ROURGUE dit St-Jean, Jean - Jouaville
SAINT-MAXENT (de), Gibert-Antoine - Longwy
SIGUR, François-Pierre - Pont-à-Mousson
TAIGNIER, Nicolas - Toul
THIRION ou THERION dit Vadeboncoeur, Joseph - Bertrichamps
THOMAS dit Vaudémont, Claude - Vaudémont
THOMAS, Augustin - Barbas
THOMAS, Christophe - Custines
THOMAS, Jean-François - Pont-à-Mousson
THOUVENIN ou TOUVELIN dit Larivière, Claude - Vathiménil
TICHANT ou TICHAUT dit St-Amant, Georges - Toul
VARRY, Étienne - Lunéville
VINOT ou VIGNOT dit Beauséjour, Nicolas - Vitrey
VOYNIER, Jean - Saint-Nicolas-de-Port
VUOILLET ou VOYER dit l’Espérance, Jean - Vandeléville
