ADAM dit Larose, Jean-Baptiste - Étain
ADAM, Joseph - Dugny-sur-Meuse
ADAM, Nicolas - Verdun
ADNÉ ou ADNET, Louis-Théodore - Warcq
ALBERT, François - Dugny-sur-Meuse
ANTHOINE, Denise - Saint-Germain-sur-Meuse
AUDIER, Louis - Verdun
BAILLOT dit Joubal, Pierre - Ourches-sur-Meuse
BAROIS, François-Pierre - Mauvages
BASSE dit Beausoleil, Nicolas - Herméville-en-Woëvre
BERNARD ou BONARD, Claude - Baudrémont
BERTIN dit Larivière, Claude - Delouze-Rosières
BOISSION, Henry - Bar-le-Duc
CAJOT, Pierre - Verdun
CAZIN dit Bel-Amour, Joseph - Étain
CHESNE ou CHENAY, Jean-Baptiste - Mouzay
CHOISSER ou CHOITZER dit Lapoussière, Jean - Forges-sur-Meuse
COLIGNON dit Blondin, François - Grimaucourt-en-Woëvre
CORDAULT, Nicolas - Froidos
CORIEUX ou CORIOT dit Hautmont, Jean-Nicolas - Haumont-près-Samogneux
DESANDROUINS, Jean-Nicolas - Verdun
DESBOIS, François - Chanteraine
DRIGNY, Antoine - Commercy
DUPIERRE ou DEPIER dit Lacouture, Jean - Mécrin
DUPREZ ou DUPRE dit St-Étienne, Étienne - Étain
DUVAL, François - Verdun
FRÉCHOND ou FRECHANT dit Barrois, Claude-François - Lignières-sur-Aire
GARAUDE, Pierre - Bar-le-Duc
GERARD, Julien - Bar-le-Duc
GIRARD, Joseph - Morley
GIRARD, Gabriel - Romagne-sous-Montfaucon
GODEFROY dit Laramée, Jean-François - Breux
GRIMOT, Nicolas-Joseph - Verdun
GUICHARD ou RICHARD dit Saint-François, François - Chaumont-sur-Aire
HALLÉ dit Vadeboncoeur, François - Damloup
HENRIOT, Claude - Delouze-Rosières
HUSSON dit Lajoie, François - Ancerville
JAGER ou JAYER, Claude - Verdun
JEANSON, Nicolas - Morley
LAGUER DEMORVILLE, Claude-Dorothée - Commercy
LAMBERT, Louis - Étain
LARCHER, Jean-Baptiste-Benoît - Commercy
LAURENT dit Labonté, Isidore - Étain
LECOPHRE, François - Billy-sous-Mangiennes
LEDROLLE, Dominique - Riaville
LEMOINE, Claude - Brabant-sur-Meuse
LEMOIS, Pierre - Ancemont
LIEGEOIS, Jean - Verdun
LIÉNARD, Sébastien - Saint-Mihiel
LOLIVIER dit Olivier, Jean-Baptiste - Ménil-aux-Bois
LOMBARD DE COMBLES (de), Jean-Claude-Henry - Combles-en-Barrois
MAMARD, Françoise - Verdun
MANJO, Nicolas - Rupt-en-Woëvre
MARCHE, Jean-Joseph - Romagne-sous-les-Côtes
MARÉCHAL, Nicolas - Verdun
MARTIN, Joseph - Bar-le-Duc
MATIS, Jean - Dun-sur-Meuse
MERCIER, Charles - Lachaussée
MORASSE ou MOURAT dit Lorrain, Jean - Ligny-en-Barrois
MOREAU ou MOUROT, Joseph - Cousances-les-Forges
NERRE ou NERVE ou NOIRE dit Lavictoire, François - Harville
NEXER, Jean - Saint-Mihiel
NORMAND dit Champagne, Jean-Baptiste - Pouilly-sur-Meuse
PAQUET, Noël - Verdun
PIERRON, Jean - Dun-sur-Meuse
PUTELLE, Jean-Baptiste - Verdun
RAGOT ou RAGAUT dit Bel Air, Etienne - Vouthon-Bas
RÉMY dit Montmidi, Martin - Chauvency-le-château
RENAUD, Marguerite - Ligny-en-Barrois
ROUYN sieur de , Jean-Baptiste - Saint-Maurice-sous-les-Côtes
SEIZE, Louis - Richecourt
STOQUI ou STOQUET dit Jolicoeur, Oulric - Montmédy
TAILLEUR dit Francoeur, François - Étain
TALBOT, Louis-Charles - Maulan
TERNANT, chevalier de Jean - Damvillers
THÉRIOT ou THIRIOT dit Capucin, Jean-Chrysostôme - Ligny-en-Barrois
THIBALLIER, Louis-Nicolas - Bar-le-Duc
THIERRY dit St-Claude, Claude - Rouvrois-sur-Othain
THIRIER ou THIRIET, Philippe - Longeville-en-Barrois
ROUYER ou ROYER, François - Commercy
VARNIER dit Francoeur, Antoine - Sauvoy
VILLERS ou VILLIDERS, Louis - Rupt-aux-Nonains
VIOLET ou LAVIOLETTE dit Beausoleil, Pierre -  Ourches-sur-Meuse
