ADNÉ, Louis - Gelucourt
ARNOUX, Pierre - Metz
AUBERTIN ou HOBERTIN, François - Haboudange
BAIL ou BAILL, Jean-Baptiste - Vaux
BARTHÉLEMY, Joseph - Metz
BEAUPRÉ, Pierre ou François - Metz
BENNET ou BENOIT, Joseph - Metz
BERNARD dit Hanse, Jean - Thionville
BIRTZ ou DESMARTEAUX, Etienne - Ay-sur-Moselle
BOURGEOIS, Joseph - Metz
CARABIN dit Latendresse, Michel - Maizières-lès-Vic
CHEF ou CHEVRE, Joseph - Metz
CHONCE, Jean - Puttelange-aux-Lacs
CLAUD, Nicolas - Fameck
COUSSEAU, Etienne - Metz
CREITTE DE METRY, Charles - Thionville
DELARMINAT, Jean-François - Thionville
DELAVAUX, Catherine - Delme
DIDIER, Jean - Metz
DIDION, Antoine - Fameck
DOURLET, Anne-Marguerite - Vaudreching
DUMONT, Julienne - Metz
DURY dit Sansquartier, Nicolas - Metz
DUVILLARS, Louis - Sarrebourg
EDAINE ou EDEL dit Sanfaçon, Antoine - Marsal
FERQUEL ou FERQUELLE dit La Rose, Gérard - Chambrey
FLEURY, Jean - Metz
FOLMER, Adam - Bitche
FOURNERIE, Joseph - Metz
FRANÇOIS ou LEFRANÇOIS, Marie-Madeleine - Metz
FRANÇOISE, Marie-Marguerite - Metz
GILLET, Jean - Hampont-Obreck
GRANDRY, Marianne - Metz
GRANJEAN dit Jean, François - Metz
GRANTREL dit Lurain, Nicolas - Metz
HARMAND, Joseph-Marie - Metz
HENRY dit Messein,Lajeunesse, Jean - Marange-Silvange
HENRY, Marie-Françoise - Marsal
HOLZCAM, Jean - Gorze
HUSSON, François - Marsal
ISAMBERT, Catherine - Metz
JACQUIN, Jacques - Loudreﬁng
JOFFROY, François - Metz
KERLE dit Bellegarde, Jean-Baptiste - Lagarde
KIL ou GUILLE dit Belleﬄeur, Christophe - Vittersbourg
KINCELER, Antoine - Saint-Avold
LAGRELLE, Joseph - Metz
LAN, Étienne - Ommeray
LAPRESLE (de), Joseph - Metz
LAVAL dit Blondin, François - Peltre
LECLERC, François - Metz
LECLERC dit Laverdure, François - Thionville
LEGRAND, Marie-Marguerite - Metz
LEMAIRE, dit Laliberté, Jean-Nicolas - Cuvry
L’HÔTELLIER, Henri - Faulquemont
LINDE, Henri - Metz
LIRETTE, Charles - Pontpierre
MAMIEL DE PONTOIS, Jean-Louis - Metz
MANSION, Jeanne - Metz
MARBE, Catherine - Chambrey
MARIN, Étienne - Phalsbourg
MARIONEL, Joseph-Nicolas - Metz
MESSIN ou MECHIN, Pierre - Gorze
MESSIN, François - Metz
MEUNIER ou MUNIER dit Bellerose, Pierre - Vaxy
MONDY dit Léveillé, Dominique-Arnoux - Metz
MONGIN, François - Metz
MORAND, François - Thionville
PARISET, Lazare - Metz
PERRON, Joseph - Metz
PETIT, Nicolas - Oron
PHILIBERT ou PHILBERT, Jean-Baptiste - Kirviller
PIERRE, Joseph - Château-Salins
PLESSIS ou PLESSYS dit Bel-Air, Jean-Louis - Metz
PROVOST, Pierre - Riche
RAYMOND, Jean-Baptiste - Arry
RIBERT, Adrien - Philippsbourg
RICHE, Louis - Baudrecourt
ROBERT dit Deslauriers, Jean - Pommérieux
ROBERT dit Robert, Claude - Pommérieux
ROCHER, Jacques-Barthelemy - Thionville
SAGARD, Gabriel - Sillegny
SAINT-FELIX (de), Joseph-Étienne - Marimont-lès-Bénestroﬀ
SALEUR, Jacques - Metz
SAUCOUR, Jean - Neufvillage
SCHLETTER, Michel - Moyenvic
SCHNEIDER, Sébastien - Thionville
SCHNEIDER, Serge ou Georges - Thionville
SIEBENBERGER, Jean - Rodemack
SYLVESTRE, Claude - Metz
TAILLEUR ou SCNEIDER dit Jolicoeur, Christophe - Volmunster
THESARD, François - Metz
THIERSANT DE GENLIS, François-Gabriel - Metz
TINUS, Louis - Thionville
VAUTRIN, François - Desseling
VIGNAL, Antoine - Metz
VILLIERS (de), Jean - Saint-Jure
WATRIN, François-Philibert - Metz
WEBER, Jean-Nicolas - Frauenberg
WELL, Bernard - Thionville
WILLAUME, Antoine - Metz
