ADENAIT dit Lajoyt, François - Nevers
BARBIER dit le Minime, Gilbert - Decize
BARDET dit Laferme, Ignace-Pierre - Béard
BEAUPARLANT, Jean - Nevers
BENOÎT dit Nivernais, Paul - Châtillon-en-Bazois
BREUSSARD ou BREUSARD dit Lavictoire, Jean - Pouilly-sur-Loire
BUREAU, Jean - Nevers
CACADIER du Signe, Gilbert - Varennes-Vauzelle
CARRÉ dit Laroche, François - Nevers
CHALLEGRAIN, Louis-Charles - Dornecy
CLEMENT dit Labonté, Léonard - Clamecy
DELAUNAY, Madeleine - Nevers
DENIS dit Lafrance, Jacques - Garchizy
DEROME dit Descarraux, Denis - Myennes
DUCHESNE, Claude - Nevers
GENEST, Léonarde - Corbigny
GRANDMAISON (de), Eléonore - Clamecy
ISAMBERT, Antoine - Moulins-Engilbert
JANOT dit Bourguignon, Henri-Jules - Château-Chinon
JUST, Madeleine - Brèves
LAMPRON dit Lacharité, Jean - La Charité-sur-Loire
LEMAIRE, Claude-Louis - Entrains-sur-Nohain
LEPAGE DE LACROIX, Marie-Rogère - Clamecy
LORIS, Nicolas - Saint-Reverien
MILLION, François - Saint-Martin-d’Heuille
MINEAU dit Ladouceur, Jean-Daniel - Saint-Reverien
PERRAULT, François - Cosne-Cours-sur-Loire
PERRAULT, Jacques - Cosne-Cours-sur-Loire
PIAT, Irénée - Nevers
POURNIN DE LAFAYE, Marie - Pouques-Lormes
RENAUD D’AVENE, François-Marie - Lormes
ROBIN dit Lapointe, Jean - Clamecy
THIBODEAU dit Laforet, Louis - Saint-Bonnot
