ALBERT, dit Saint-Aignan, Toussaint - Courtomer
ALLOIGNON, Pierre - Moussonvilliers
ANGO Sieur des Maizerets, Louis - Argentan
AUBERT, Marguerite - La Ventrouze
AUBIN, Jacques - Tourouvre
AUBIN, Michel - Tourouvre
AUBRY, Jacqueline - Sées
BARRE, Jacques - Argentan
BEAUVAIS dit Saint-James, Jacques - Igé
BELHOMME, Marie - Igé
BIDARD, Marie - Alençon
BIGOT, Françoise - La Ventrouze
BIGOT, Jean - La Ventrouze
BODA, dit La Seignerie, Pierre - Argentan
BOUCHER, François - Saint-Langis-lès-Mortagne
BOUCHER, Gaspard - Mortagne-au-Perche
BOUCHER, Jean-Galleran - Saint-Langis-lès-Mortagne
BOUCHER, Jeanne - Mortagne-au-Perche
BOUCHER, dit Beaubuisson, Louis-Martin - Saint-Langis-lès-Mortagne
BOUCHER, Madeleine - Mortagne-au-Perche
BOUCHER, Marguerite - Mortagne-au-Perche
BOUCHER, Marie - Mortagne-au-Perche
BOUCHER, Marin - Mortagne-au-Perche
BOUCHER, Nicolas - Mortagne-au-Perche
BOUCHER - Sieur de Grosbois et de Boucherville,
Pierre - Mortagne-au-Perche
BOULAY, Jacqueline - Mortagne-au-Perche
BOULAY, Robert - Mortagne-au-Perche
BOURDON, Mathieu - Nonant-le-Pin
BOYER, Barbe - Saint-Maurice-lès-Charencey
BRUNET dit Lestang, Mathieu - Rai
CHAMBOY, Jacqueline - Mortagne-au-Perche
CHASTEL, Michel - Randonnai
CHASTEL, Thoumine - Autheuil
CHAUVIN dit Lafortune, Marin - Saint-Mard-de-Réno
CHEVALIER, Charlotte - Feings
CLOUTIER, Anne - Mortagne-au-Perche
CLOUTIER, Charles - Mortagne-au-Perche
CLOUTIER, Jean - Mortagne-au-Perche
CLOUTIER, Louise - Mortagne-au-Perche
CLOUTIER, Zacharie - Mortagne-au-Perche
CLOUTIER, Zacharie - Mortagne-au-Perche
COCHEREAU, Pierre - Tourouvre
COCHON DE CHAUVIGNY DE LA PELTRIE, Madeleine - ALENÇON
COURBIER dit Sansfaçon, Guillaume - Alençon
CRESTE, Jean - Tourouvre
DELAUNAY, Nicolas - Comblot
DESMARAIS, Marie-Louise - Argentan
DEVIN, François - Mont-Ormel
DODIER, Catherine - Igé
DODIER, Marie - Igé
DODIER, Sébastien - Igé
DROUET dit Laperche, François - Tourouvre
DROUET dit Mortaigne, François - Saint-Hilaire-le-Châtel
DROUIN, Robert - Le-Pin-la-Garenne
DUMORTIER dite Deleure, Madeleine - Chemilli
DUPONT, Sainte - Mortagne-au-Perche
FORGET dit Despatie, Nicolas - Alençon
FORESTIER, Jean - Sées
FOURNIER, Guillaume - Coulmer
GADOIS, Françoise - Igé
GADOIS dit l’Aîné, Pierre - Igé
GADOIS, Pierre - Igé
GADOIS, Roberte - Igé
GAGNON dit Saint-Jean, Jacques - Tourouvre
GAGNON, Jean - Tourouvre
GAGNON, Marguerite - Tourouvre
GAGNON, Marthe - L’Hôme-Chamondot
GAGNON, Mathurin - Tourouvre
GAGNON, Pierre - La Ventrouze
GAGNON, Robert - La ventrouze
GASNIER, Louis - Igé
GASNIER, Louise - Igé
GAUDRY dit Bourbonnière, Jacques - Feings
GAUDRY dit Bourbonnière, Nicolas - Feings
GAULIN, François - Saint-Martin-du-Vieux-Bellême
GAULIN, Marguerite - Saint-Martin-du-Vieux-Bellême
GAULIN, Pierre - Saint-Martin-du-Vieux-Bellême
GERMAIN, Robert - Lonlay-l’Abbaye
GERVAIS dit Lecharbonnier, Marin - Champsecret
GIFFARD, Charles - Mortagne-au-Perche
GIFFARD, Marie-françoise - Mortagne-au-Perche
GIFFARD Sieur Du Moncel et de Beauport, Robert - Autheuil
GIGON, François - Argentan
GIGUERE, Robert - Tourouvre
GIRARD, Pierre - Bures
GIROUX, Charles - Mortagne-au-Perche
GIROUX, Toussaint - Réveillon
GLAPION (de), Auguste-Louis - Mortagne-au-Perche
GODE, François - Igé
GODE dite la Bonne Femme, Françoise - Igé
GODE, Mathurine - Igé
GODE, Nicolas - Igé
GODE, Nicolas - Igé
GODEAU, Françoise - La Ventrouze
GOULET, Jacques - Normandel
GOULET, Louise - La-Poterie-au-Perche
GOYER dit Laviolette, Mathurin - Tourouvre
GUILLEBOUG ou GUILLEBOUST, Charles - Tourouvre
GUIMOND, Louis - Champs
GUYON, Barbe - Mortagne-au-Perche
GUYON, Claude - Mortagne-au-Perche
GUYON, Denis - Mortagne-au-Perche
GUYON Sieur du Buisson, Jean - Mortagne-au-Perche
