ALBANEL, Charles - Ardes
AUCOUTURIER, Pierre - La Crouzille
AUGER, François - Aigueperse
BATTUT, Michel - Bourg-Lastic
BERNARD, Joseph - Clermont-Ferrand
BERTON, Antoine - Servant
BINET, Pierre - Courpières
BLANCHON dit Larose, Etienne - Riom
BOISSIER, Louis - Clermont-Ferrand
BOREL, Léonard-Joseph - Domaize
BOURBON, Jean - Issoire
BOUTIN, Annet - Menat
BRASSIER, Gabriel-Jean - La Tour-d’Auvergne
BUGON, Françoise - Clermont-Ferrand
CARON, Vital - Médeyrolles
CHAMPFLOUR (de), François - Clermont-Ferrand
CHANTELOY, Antoine - Billom
CHAPUT, François - Saint-Maurice
CHATEAUBAUDEAU, Timéléon - Clermont-Ferrand
CHAUMET, Etienne - Mireﬂeurs
CHÈZE, François - Vollore-Ville
CHOMELIER, François - Riom
CLERMONT, François - Clermont-Ferrand
COLONGE, Jean-Baptiste - Riom
DÉAT, Antoine - Riom
DUPUY, Claude-Thomas - Ambert
FONTREUREUSE ou FONDUROSE, Blaise - Saint-Anthème
GANNAT, Michel - Riom
GELIN, Louis - Clermont-Ferrand
GILAUDE, Bonnet - Servant
GILBERT, Antoine - Clermont-Ferrand
GUIBORD, Antoine - Clermont-Ferrand
ISTRE, Joseph - Montaigut-le-Blanc
JALADON, Annet - Marcillat
JAVANELLE ou CHAVANEL, Pierre - Artonne
LABORIE, Guillaume - Clermont-Ferrand
LACOMBE dit Saint-Amand, Guillaume - Le Vernet-Sainte-Marguerite
LA CORNE DE CHAPTES (de), Jean-Louis - Beauregard-Vendon
LA CORNE DE CHAPTES (de), Marie-Madeleine - Beauregard-Vendon
LAFARGE, Jean - Saint-Saturnin
LAGARDE, Georges - Marcillat
LAGORCE ou GOURCE, Jean - Biollet
LAMBERT, Jean - Clermont-Ferrand
LAROCHE, Pierre ou Jean - Clermont-Ferrand
LEROUX dit Lassaigne, Gilbert - Mons
LOUVOIS (de), Jean - La Tour-d’Auvergne
MANUBY, Jean - Clermont-Ferrand
MANGO, Daniel - Clermont-Ferrand
MARTIN, Claude - Pionsat
MAUGUE ou MOGUE, Claude - Saint-Amant-Tallende
MAYRARD dit Jolibois, Henri-Guillaume - Maringues
MAYRARD dit Jolibois, Jean-Baptiste - Maringues
MERCIER, Joseph - Clermont-Ferrand
PASCAL, Marguerite - Thiers
PASTOREL dit Lafranchise, Claude - Clermont-Ferrand
PIREYRE, Jean-Baptiste - Beaumont-les-Randan
PLAMANDON, Philippe - Lapeyrouse
PONTUS, Guillaume - Saint-Éloy-les-Mines
POUGET, Pierre - Châtelguyon
RAFFEIX, Pierre - Clermont-Ferrand
REGIMBAL, Gérard - Condat-en-Combraille
SAUTERL ou SAUTREL, François - Clermont-Ferrand
SERINDAC, Antoine - Ambert
TAILHANDIER dit La Beaune, Marien - Clermont-Ferrand
TOUCHE dit Laﬂeur, Claude ou Jacques - Riom
VACHER, Antoine - Condat-en-Combraille
VANTALON ou BATHALON dit Clermont, Antoine - Égliseneuve-près-Billom
VESSIER, François - Messeix
