ARTAGUIETTE (d’), Jean-Baptiste-Martin - Mendionde
AUCHU, Pierre - Bayonne
AUGER DE SUBERCASE, Daniel - Orthez
BARADAT, Jean - Angaïs
BASTARACHE dit Le Basque, Jean - Bayonne
BASTARACHE dit Le Basque, Michel - Bayonne
BEAULIEU, Charles - Bayonne
BENAC ou BENAR, Guillaume - Bayonne
BERALDE, Guillaume - Ciboure
BERINDOUAGUE, Jean - Bayonne
BERNESCHE, Jean-Baptiste - Saint-Martin-d’Arrossa
BIDAGAN, Martin - Masparraute
BIDEGARÉ, Pierre - Hasparren
BLAISE DES BERGHERES DE RIGAUVILLE, Nicolas - Saint-Jean-Pied-de-Port
CAPDEVIELLE, Bernard - Morlaàs
CAPDEVIELLE ou DEKADEVIELLE, Bernard - Morlanne
CARDOS, Abraham-Pierre - Bayonne
CARESTE ou MALSIGUE, Marie - Ustaritz
CARREROT, Pierre - Bayonne
CARSI dit Laviolette, François - Saint-Jammes
CASAUBON, Martin - Saint-Jean-de-Luz
CASSANO, Martin - Bayonne
CATALOGNE (de), Gédéon - Arthez-de-Béarn
CAVELIER dit Le Basque, Jean-Baptiste - Gotein-Libarrenx
CAZEAU ou BACON dit Cazeau, Jean - Issor
CAZELIER, Félix-Philippe - Saint-Girons
CHAILLOU, Jeanne - Bayonne
CHAPEDOS, Johan - Saint-Étienne-de-Baïgorry
CHARLESTEGUY, Pierre - Isturits
CHENNEQUI, Martin - Saint-Pierre-d’Irube
CHEVELARI ou CHEVELART, Joannis - Hasparren
CHEVERY, Jean-Baptiste - Bayonne
CLAVERIE, Pierre - Susmiou
DACCARETTE, Michel - Hendaye
DACCARETTE dit Jean, Joannis - Hendaye
DADAUPE, Dominique - Mauléon-Lichare
DAGUERRE, Adrien - Tardets-Sorholus
DAGUERRE, Dominique - Saint-Pée-sur-Nivelle
DAGUERRE, Michel - Sare
DAMBOURGES, François - Salies-de-Béarn
DAMOSTOY ou DAUMESTEUIL, Dominique - Briscous
DANGLADE, Bertrand - Ciboure
DANGLADE, Joseph - Lescar
DARAC, Jean - Ciboure
DASSIER, Etienne - Bayonne
DASSIER, Martin - Bayonne
DE SOLA ou DE SALA, Joannis - Bidart
DEBIDABÉ, Jean-Baptiste - Osse-en-Aspe
DEHEGUE, Jean-Baptiste - Labastide-Clairence
DELOYAL ou DELOYER dit Miguel, Michel - Bayonne
DEPOCA, Jean - Cambo-les-Bains
DERASPE, Pierre - Saint-Jean-de-Luz
DERECARTE, Jean - Bayonne
DERONCE ou DARUNS, Jean - Urrugne
DESALHAY, Jean - Urrugne
DESCHART, Jean - Sare
DESCLOS, Dominique - Ciboure
DESMOLIERS, Jacques - Lourenties
DESNOYER, François - Lescar
DESNOYERS, Jean-Baptiste - Navarrenx
DESSENI, François - Urrugne
DETCHEPARE, Martin - Guétary
DETCHEVERY, Arnaud - Labastide-Clairence
DETCHEVERY dit Petrico, Pierre - Bidart
DETCHEVERY DE SALE, Dominigo ou Dominique - Moncayolle-Larrory-Mendibieu
DETCHEVERY, Dominique - Bidart
DETCHEVERY, Jean - Saint-Jean-de-Luz
DETCHEVERY, Martin - Bayonne
DETCHEVERY ou D’ETCHEVERY, - Bertrand Saint-Jean-de-Luz
DETREE, Dominique - Bayonne
DIBARBOURE, François - Guétary
DIEZ, Bernard - Briscous
DIRIGOYEN, Jean - Bayonne
DIRUBE, Catherine - Saint-Pée-sur-Nivelle
DIPARATTE, Laurent - Saint-Jean-de-Luz
DOMINGO, Etienne - Bayonne
DOMINGUE-MAYRACQ (de), Laurent - Bayonne
DORION, Pierre - Salies-de-Béarn
DORIOS, Martin - Urrugne
DOYER dit Saval, Martin - Saint-Pée-sur-Nivelle
DUCAS, Jeran - Pau
DUCLOS, Antoine - Bayonne
DUCLOS, Jean-Baptiste - Bayonne
DUCOSSE, Catherine - Bayonne
DUCREST, Louis - Arudy
DUGUAY, François - Bayonne
DUGUAY, Jean-Marie - Bayonne
DUGUAY, Pierre - Bayonne
DUGUAY, René - Bayonne
DUPLESSIS, Joseph - Bayonne
DUPONT, Pierre - Bayonne
DUPUIS, Jérome - Bayonne
DUPUYAU dit Marquis, Jean - Saint-Martin-d’Arberoue
DUROUCA ou DUROUIN, Martin - Saint-Vincent
ETCHEPART, Jean - Saint-Jean-de-Luz
ETOURBIL, Antoine - Salies-de-Béarn
ETOURBIL ou TURBITT, Antoine - Lantabat
FARANDIET, Bernard - Saint-Pée-sur-Nivelle
FOURMY, Raymond - Sare
FOUCAULT, François - Bayonne
FROLIN, Pierre - Bayonne
GALBARET (de), Jeanne - Hendaye
GLAIN (de), Mathieu - Bayonne
GOMESTE, Pierre-Vincent - Saint-Jean-de-Luz
GOUTCHE, Nicolas - Bayonne
GUICHAUDUC, Bertrand - Arros-de-Nay
GUILSON ou GUICHON, Jean - Saint-Jean-de-Luz
GUILXOU ou GUILSON, Jean - Saint-Jean-de-Luz
GUIROUFLET, Pierre - Maslacq
HARDOUIN ou HARDOIS, Jean - Cambo-les-Bains
HORQUELLAR (de), Estéban - Guétary
HYACINTHE dit Bellerose, Joseph - Nay
IMBERT, Bertrand - Bayonne
JOREQUIBERY (de), Raymond - Domezain-Berraute
LABORDE dit Biernais, Jacques - Dognen
LABORDE, Jean - Bidart
LABY, Joannis - Saint-Jean-de-Luz
LACROIX dit Caniche, Jean - Bayonne
LAFARGUE (de), Joannis ou Jean - Saint-Jean-de-Luz
LAFITTE, Bernard - Morlaàs
LAGRANGE (de), Jean - Villefranque
LAJUS, François-Xavier-Jourdain - Nay
LALANDE DE GAYON (de), Jacques - Bayonne
