AUTIER, Jean - Perpignan
BAREGE ou BARRETJA dit Labatterie, Jean - Collioure
BARRIERE dit Baguette, André - Perpignan
BEAUBEAU ou BOPOT ou BOBO dit Fleury, Joseph - Le-Soler
BECH ou BEC, Pierre - Argelès-sur-Mer
BERTRONS ou BERTRAND dit Laviolette, François - Perpignan
BONNET dit Latour, Louis - Latour-de-France
CABANA ou CABANES dit Lajoie, Joseph - Perpignan
CAMMASSE dit Saint-André, Gabriel ou Raphaël - Montauriol
CIANIGU ou GENIGOUT Lalancette, Gilbert - Villefranche-de-Conflent
CIANIGU, Hippolyte - Villefranche-de-Conflent
CONTAL, Jacob - Perpignan
CONTOIRE, Paul - Perpignan
CRESPIT, Jean - Perpignan
DOUTRE ou DUTRAS dit Larose, Ferreol - Caixas
GA dit Pied-Ferme, Jean-Baptiste - Perpignan
GUILMAT dit Loranger, François-Nicolas - Perpignan
HEBERT dit Larose, Joseph - Perpignan
JOLY ou JOLI, Félix ou Fidéle - Perpignan
LATACHE, Marie - Perpignan
NASPLAISE ou NASPLESA dit Passepartout, Michel - Claira
PERDIGAUD dit Lavigeur, Etienne - Perpignan
POUGEOL ou PUJOL dit Perpignan, Jean-François - Perpignan
RANQUES dit Lalancette Jacques - Villefranche-de-Conflent
ROUSSEL dit Lafleur, François - Saint-Genis-des-Fontaines
SAGALA dit Sanschagrin, Jacques - Oms
SANGUINET, Simon - Amélie-les-Bains-Palalda
TRINQUE, François - Tarerach
VALOIS dit Saint-Jean, Jean-Baptiste - Perpignan
