BALLARD dit Latour, Louis - Autun
BASSOT, Hugues - Cluny
BER, Jean - Branges
BOUILLET DE CHEVALET, Claude - Couches
BOUILLET DE LA CHASSAIGNE, Jean-Baptiste - Paray-le-Monial
COUSIN, Claude - Saint-Christophe-en-Bresse
DESSUREAU dit Laplante, François - Autun
DUMONT, Mathieu - Cluny
FILIARD ou FELLIARD dit Laplante, Pierre - Mâcon
FOL DESMARETS, Catherine - Tournus
FOL DESMARETS, Claude - Tournus
FRANCOIS dit Givry, Jean-Baptiste - Chalon-sur-Saône
GALAND, Joseph - Autun
GAY, Robert-Michel - Autun
GRIVEAULT dit Bellerose, Aimé - Autun
JACQUET dit Sansfaçon, Benoit - Culles-les-Roches
JOURNET dit Bourguignon, François - Saint-Agnan
LABROSSE, Raymond - Saint-Symphorien-des-Bois
LANGERON dit Lafontaine, Etienne - Saint-Vallier
LAURENT dit Lasonde, Jean-Georges - Semur-en-Brionnais
LAVANOIS dit Laviolette, Jean-Baptiste - Romenay
LECREUX DU BREUIL, Nicolas - Blanzy
LOISEAU dit Chalon, Antoine - Varennes-le-Grand
MALISSON, Philibert - Pouilloux
MARCHAND, Nicolas - Tournus
MENARD dit Lafontaine, Jacques - Mervans
MERCIER, Elisabeth - Mâcon
MEUNIER, Antoinette - Autun
MICHELET, Melchior - Toulon-sur-Arroux
MIER ou MIEN, Aimé - Mâcon
MILOT, Claude - Autun
MOREAU dit Saint-Rémy, Antoine - Saint-Rémy
MOTIN, Anne - Mont-Saint-Vincent
MOTIN, Jeanne - Mont-Saint-Vincent
NOYROT, Philibert - Semur-en-Brionnais
PAHIN, Claude-Philiberte - Chalon-sur-Saône
ROLLIN dit Maconnet, Pierre - Mâcon
SAULNIER dit Beausoleil, Paul - Mouthier-en-Bresse
SAVOIE, Étienne - Louhans
THIBAULT, Denis - Cluny
THIBERT, Jean - Saint-Usuge
TINON, Claude - Autun
TRAHAN, Guillaume - Génelard
TREMEAU, François-Xavier - Collonge-en-Charollais
