BARTÉLEMY, Thomas - Saint-Jean-du-Bouzet
BESSE, François - Montaigu-de-Quercy
BOYER, Jacques - Castelsarrasin
CALVET, Pierre - Caussade
CAPIGNEAU dit Lagarde, Bernard - Puylagarde
CARBONNEL, Jean - Bouloc
CASSAN, André - Montauban
DALPEC dit Belair, François - Montauban
DELPRAT, Guillaume - Castelmayran
DESCO, Pierre - Montauban
DUCLOS, Jean - Montauban
DUMAS, Alexandre - Montauban
DUMAS, Antoine-Libéral - Montauban
DUMAS, Jean - Montauban
DUMAS, Jean-Daniel - Montauban
ÉTIENNE, Pierre - Montauban
FIGUERY (De), Etienne-Guillaume - Castelsarrasin
FRANÇOIS, Jean-Pierre - Castelsarrasin
GOUSSE ou GOUGE, Guillaume - Verdun-sur-Garonne
GREISAC, Gabriel - Saint-Nicolas-de-la-Grave
GUISCARD, Louis - Saint-Porquier
LAPIERRE, Guillaume - Auterive
LAUMET dit Lamothe-Cadillac, Antoine - Saint-Nicolas-de-la-Grave
LAUNEL, Pierre - Montbartier
MAISONNEUVE, Pierre - Lacour
MARSAL, Antoine - Moissac
MARTIN, Jean-Baptiste - Dunes
MAURÈS DE MALARTIC (de), Anne-Joseph-Hippolyte - Montauban
MEZIÈRE, Pierre - Poupas
MOÉTE DE MORASSE, Pierre - Castelsarrasin
MONTARDY, Pierre - Montauban
MONTARY dit Jolicoeur, Jean. - Castelsarrasin
MYON ou MELIOT, François - Escatalens
PERRET ou PEZET dit Lapensée, Pierre - Saint-Antonin-Noble-Val
PRESCETQ ou PRICE dit Montauban, Jacques - Montauban
QUAILAN ou CAILLANT, Jean - Garganvillar
RIEUTORD, Jean-Baptiste - Gramont
ROCHE, Pierre - Castelsarrasin
ROUFFIO, Joseph - Montauban
TACHÉ, Jean - Garganvillar
TANDAU, Claude - Montauban
TERISSE dit Montauban, Antoine - Auty
THEROUX, Antoine - Verdun-sur-Garonne
THOURON, Bernard - Saint-Antonin-Noble-Val
TINCHENET, Alexandre - Poupas
TOUSSAINT, Pierre - Castelsarrasin
