ABEROUX dit Larose, Pierre - Saint-Amans-Valtoret
ADHEMAR DE SAINT-MARTIN, Antoine - Albi
BERTHOUMIEU, François - Saint-Pierre-de-Trivisy
BERTRAND, Jean ou Jacques - Montans
BOISSONNIÈRE Pierre - Fauch
BONNE DE MISSÉGLE (de), Louis - Viviers-lès-Montagnes
CANAC dit Lacouture, Étienne - Albi
CANAC, Marc-Antoine - Lacaune
CAZE DE LAFERRIÈRE dit Cambise, Etienne - Saint-Jean-de-Vals
CHESNE dit Lagrave, Raymond - Albi
COIGNET, Jean - Castres
CORBIN, David - Castres
CÔTÉ, François - Puylaurens
DALMAS dit Larose et l’Albijois, Raymond - Aussac
DANDEGAUD DE LAPIVRANE, Pierre - Saint-Germier
DAVID, Jacques - Castres
DELISLE, Jacques - Albi
DELPÊCHE ou DALPEC dit Bélair, Bernard - Tonnac
DESPLAN ou LESPLAN, Jean-Baptiste - Albi
DONNADIEU DE PELISSIER, Louis-Joseph - Castres
DORGUES, Joseph - Castres
ESCANDRE DES PERONNELLES, Marc-Antoine - Dourgne
FABRE dit Laterrière, Henri-Marie-Pascal - Curvalle
FOUCAUD (de), Jean - Mouzens
GALAUP DE LAPÉROUSE (de), Jean-François - Albi
GELLY, Jean - Rabastens
GIBERT, Jean - Mailhoc
GILES, Jean - Lavaur
GRIMAND, François - Castres
GUARIGUE dit Sanschagrin ou Laguérite, Jean - Castres
GUARIGUE, jean - Briatexte
GUELOU, Joseph - Castres
GUINOT dit Larose, Bernard - Castres
JOBIN dit Boisvert, Jean - Saint-Benoît-de-Carmaux
JULIEN, Jacques - Puylaurens
LACOSTE, Antoine - Puylaurens
LAROCQUE dit Lafontaine, Guillaume - Marssac-sur-Tarn
MASCARÈNE, Paul - Castres
MICHEL dit Saint-Michel, André - Albi
MONTAGNE dit Sanschagrin, Raymond - Albi
PERIEUX, Jacques - Soual
PUEL, Victor - Le Verdier
RAUQUE ou ROQUES, Jacques - Villefranche-d’Albigeois
ROUFIAT, Joseph - Albi
SABATÉ, Jean - Tonnac
SICARD DE CAUFFEL, Jean - Castres
TAFFANEL DE LA JONQUIÈRE (de), Pierre-Jacques - Graulhet
THOERY dit Delormeau, Roch - Gaillac
TROUILLET, Louis - Albi
COLET dit Lajoie, Antoine - Belcastel
