ARNOUX, Madeleine - Toulon
AUBAN dit Lagarde, François-Honoré - Toulon
AUGIAS dit Provençal, Marin - La-Valette-du-Var
BEAUSSIER DE LISLE, Louis-Joseph - Toulon
BERTHE ou BARTHE, Alexis - Toulon
BESSON, Honoré - Pignans
BORME, Jean-Louis - Pignans
BOURGEAT dit Provençal, Pierre-Paul - Toulon
CASSENAVE dit Cazac, Guillaume - Toulon
CAVELIER, Joseph - Draguignan
CHABERT de COGOLIN (de), Joseph-Bernard - Toulon
CHAUSSEGROS de LERY, Gaspard-Joseph - Toulon
CHAY dit Jolicoeur, Charles - lorgues
CROZE dit Provençal, Laurent - La-Cadière-d’Azur
DEMAZAN de PONTFRAI, Balthazar - Rians
DU QUESNE de MAINEVILLE, Ange - Toulon
ETIENNE, Pierre - Saint-Julien
FEUTRIER, François - La-Valette-du-Var
GIRARD dit Provençal, Etienne - Cotignac
GUAY, André - Toulon
GUIOL, Elisabeth - Toulon
LASALLE (de), Nicolas - Toulon
LEVASSEUR, René-Nicolas - Toulon
MARIN de LA MALGUE, Charles-Paul - Toulon
MARIN dit Sanschagrin, Joseph - Toulon
MELISAN, François-Guillaume - Toulon
MICHELET, Melchior - Toulon
NIEL, Pierre. - Saint-Maximin-la-Sainte-Baume
PELLEGRIN, Gabriel - Toulon
PLAUCHE ou PLOSSE, Etienne-Henri - Signes
RAIMBAULT, François - Toulon
REMY de COURCELLE (de), Daniel - Toulon
ROME, Catherine - Brignoles
ROME, Marie-Bénigne - Brignoles
SABATIER, Antoine - Toulon
SABATIER, François-de-Paul - Toulon
SAINT-HILAIRE de LAROCHETTE (de) - Toulon
SENEZ dit Frappe-d’abord et Lachesnaye, Esprit - Toulon
VIDET dit Saint-Louis, Louis - Brignoles
VILLEBOIS de la ROUVILLIERE (de), Honoré - Toulon
VIZIER Alexandre - Toulon
