ARMAND, Antoine - Mirecourt
ARNOUX dit Laﬂeur, Nicolas-François - Éloyes
AUBERT dit Laforge, Claude - saint-Dié-des-Vosges
BANNEROT dit Jolicoeur, Nicolas - Champ-le-Duc
BARTHÉLEMY dit Monplaisir, Jacques - Pont-lès-Bonfays
BASTIEN, Joseph-Antoine - Neufchâteau
BAUREY ou BORET dit saint-Laurent, Laurent - Mirecourt
BENOÎT dit Benoît, François - Viménil
BERNARDIN, Jean-Baptiste - Plombières-les-Bains
BEUCHOT, Joseph - Le Clerjus
BLAVOT, Claude-François - Épinal
BODIÈRE ou BOUDIÈRE dit Saint-Jacques, Jacques - La Croix-aux-Mines
BOILEAU dit Vadeboncoeur, Fiacre - Neufchâteau
BOLE ou BOLLE dit Beauséjour, Joseph-Antoine - Coussey
BONNARD, Didier - Chatenois
BOULANGER, Jean - Oëlleville
BOURGEOIS, Léopold - Baudricourt
BOURGUIGNON dit Léveillé, Léopold - Belrupt
BRAHY ou BRAYdit Bonvillé, Jean-Nicolas - Bonvillet
BRAUX (des), Charles - Neufchâteau
CACHET ou GAUCHET dit Sanscartier, Jacob - Damblain
CAPSEL, Joseph - Celles-sur-Plaine
CHAPOTEL OU CHAPOUTET dit Bouquet, Joseph - Charmes
CHENAL ou CHENAYS dit Jolibois, Joseph - Saint-Dié-des-Vosges
COLLIN dit Collin, François - Épinal
COUREAU ou COUVAN dit Dominique, Louis-Dominique - Jeanménil
DEGUERRE ou DESGUERRES dit Deslauriers, - Dogneville
DEMANCHE, Jean-Nicolas - Archettes
DETRE, Jean-Georges - Rouvres-la-Chétive
DEVIVIER, François - Remiremont
DIDIER dit Latulipe, Nicolas - Raon-L’Étape
DISLON ou DILLON dit Saint-Dié, Jean-Pierre - Saint-Dié-des-Vosges
DUCOIN ou BEXON, Louis-Charles - Mirecourt
DUPLASSY ou DUPLACY dit Duplacy, François - Mirecourt
ÉTIENNE dit Laprairie, Sébastien - Remoncourt
FOURNIER, Augustin - Rouvres-la-Chétive
GABRION, Joseph - Le Clerjus
GAUTHIER dit Gauthier, Charles - Mirecourt
GERMAIN, Jean-François - Dogneville
GIRARD, Joseph - Bruyères
GREGOIRE dit Larose, Augustin - Mirecourt
GUERIN dit Laramé, Jean-Michel - Saint-Dié-des-Vosges
HARMANT dit St-Jean, Jean - Mirecourt
HUGUENIN dit Saint-Vincent, Vincent - Méloménil-Uzemain
HUGUES, Jean - Saint-Balesmont
JACOB, Jean - Moncel-sur-Vair
JACOTEL, François - Chatenois
JACOTTE dit Tranchemontagne, Nicolas - Belrupt
JACQUIN dit Philibert, Nicolas - Martigny-les-Bains
LAMALOISE ou LAMELOISE dit Laliberté, Joseph - Remoncourt
LARMINAT ou LARMINACH, Jean-Baptiste - Saint-Dié-des-Vosges
LAURENCEAU, Etienne - Remoncourt
MACELOT, Mathias - Chatenois
MATHIEU, Nicolas - Le Clerjus
MAUCHAN ou MOCHON dit Durand, Dominique - Mirecourt
MAUCLAIR, Jacques-Joseph - Remiremont
MAYR, Joseph - Saint-Dié-des-Vosges
MERJACQUE, Nicolas - Jubainville
MIQUEL dit Blondin, Claude-François - Mirecourt
MIQUEL dit St-Mihiel, Joseph - Mirecourt
MONDA ou MUNDA dit Sansregret, Charles - Mirecourt
MORASSE, Nicolas - Vouxey
MORIN, Marie - Damblain
NOEL dit Boncoeur, Lorrain, Jean-Baptiste - Granges-sur-Vologne
ODINOT ou AUDINOT dit Lagiroﬂé, Jean-Claude - Raon-L’Étape
PARMANTIER ou PARMANQUIER, Joseph - Dommartin-lès-Remiremont
PARY ou PEUTSSE ou PINTZE dit Dupuis, Claude - Remiremont
PERETT ou PERRET dit Laforme, Laurent - Mirecourt
PERRIN, Dominique - Rouvres-la-Chétive
PERRIS dit Nicolas, Lagrenade, Nicolas - Dogneville
PERRY dit Pery, Bastien - Domptail
PETITJEAN, Joseph - Hergugney
PIERRE, Antoine - Dommartin-lès-Remiremont
PILLOT ou PILOTE dit Ladouceur, François - Vittel
POIROT, Valentin - La Bresse
POIROT ou PEYROT dit Nayemont, Jean-Nicolas - Méloménil-Uzemain
PREVÔT ou PREVOST dit Francoeur, Jean-François - Dombasle-devant-Darney
RÉMY, Léopold - Biécourt
RENARD dit Laﬂeur, Nicolas - Domptail
RENARD dit Latulipe, Charles - Domptail
ROLIN dit St-Éloi, Dominique - Rainville
ROUX ou LEROUX dit Sanschagrin, Simon-Prisque - Mirecourt
SCHMOUTZ ou SMOUTZ, Charles - Épinal
SISELAIR ou SISLER dit Laﬂeur, Claude - Mirecourt
THIRIET dit Passepartout, Joseph - Mirecourt
THIRIET ou THERIES dit Léveillé, Philippe - Nonville-Belmont-lès-Darney
TOMAS ou TOUMA dit Lajeunesse, Thomas - Vincey
TORNY ou TORNIE dit Laviolette, François - Mirecourt
TREHET ou TREHAY, Nicolas - Épinal
VAUTRIN dit Bienvenu, Charles - Vaudoncourt-Saint-Barthélemy
VAUTRIN dit Vadeboncoeur, Charles - Bulgnéville
GEOFFROY, Félix - SAULXURES-LÈS-BULGNÉVILLE
