ALARIE dit Grandalarie, René - Neuville-de-Poitou
ALARIE, René - Poitiers
ALBERT, Marie-Madeleine - La Puye
ALLARD, Simon - Poitiers
ALOIGNY, Charles-Henri - Ingrandes
AMAURY, Jean - Saint-Macoux
ANDRÉ, Louise - Poitiers
ARNOU, Vincent - Mirebeau
AUBERT, François - Mirebeau
AUCHER ou AUCHOIR, Antoine - Le Vigeant
AUDOUART, François - Asnois
AURIAULT ou ORIO, Louis - Saint-Benoît
BABIN dit Lacroix, Pierre - Poitiers
BAILLAIRGÉ, Jean - Blanzay
BAILLOQUET, Pierre - Poitiers
BARBEAU, François - Poitiers
BARBEAU, Jacques - Poitiers
BARONET, Philippe - Lusignan
BARROUX, Catherine - Bonnes
BARTHON, Marthe-Françoise - Poitiers
BATREAU ou BATTERAU dit Saint-Amand, Jacques-Clément - Poitiers
BAUDET, Jean - Blanzay
BAUDOUIN, Michel - Poitiers
BEAUMONT, Vincente - Poitiers
BELLINIER, Etienne - Lusignan
BENOIST, Marguerite - Châtellerault
BERGER, François - Saint-Genest-d’Ambière
BERGERON, François - Civray
BERNARD dit Leveillé, Claude - Montamise
BERNARD, Jean - Lusignan
BERTAULT, René - Saint-Maurice-la-Clouère
BERTRAND, Gabriel - La Ferrière-Airoux
BERTRAND, Jean - La Ferrière-Airoux
BILLY dit Léveillé, Étienne - Poitiers
BINET, René - La Chaussée
BISSON, René - Marigny-Brizay
BISSONNETTE, Jacques - La Chapelle-Bâton
BIZARD, Charles - Mirebeau
BIZET, Jean - Poitiers
BLANCHARD dit Turenne, Pierre - Poitiers
BLANCHARD, François - Saint-Jean-de-Sauves
BOILEAU, Pierre - Poitiers
BOIS ou BOY ou BOHET, Jacques - Poitiers
BOISMÉ, Jean - Poitiers
BOISSIER dit Tranchemontagne, Jacques - Poitiers
BONNET, Mélin - Lieux inconnus
BONODEAU dit Châtellerault, Louis - Châtellerault
BOSSÉ, Louis - Chabournay
BOUART, Marie - Poitiers
BOUCHET dit Saint-Amour, Jacques - Latillé
BOUDROT, Marie - Archigny
BOUNILOT, Michel - Iteuil
BOURBEAU, Simon ou Jean - Cissé
BOURBEAU, Adrienne - Poitiers
BOURGINE, Hilaire - Poitiers
BOURLOTON, Pierre - Saint-Macoux
BOURQUE, Alexis - Châtellerault
BOURQUE, Antoine - Martaize
BOUTIN dit Antoine, Antoine - Vernon
BOYLEAU, Marguerite - Orches
BOYLEAU, Marie - Dercé
BRAUD, Joseph-Gabriel - Archigny
BRAULT, Jacques - Couché
BROUSSARD, Agnès - Archigny
BRUN, Vincent - La Chaussée
BRUNEAU dit Jolicoeur, René - Poitiers
BRUNEAU dit Pelletier, Pierre-Guillaume - Poitiers
CAILLAULT ou CAILLOT, Jean - Quinçay
CARTIER, Marie - Magné
CARTIER, Paul - Magné
CHALOU ou CHALLEAU dit Château, Jacques - Mirebeau
CHAMAILLARD, Vincent - Usseau
CHAMBALLON, Louis - Mirebeau
CHAMBRE ou DECHAMBRE, Jean - Voulême
CHANLUE, François - Linazay
CHAPELAIN ou CHAPELLAIN - dit Le Tourneur, Louis Poitiers
CHAPELIN, Jacques - Poitiers
CHARAUX dit Laliberté, André - Poitiers
CHARDON, Jean-Baptiste - Poitiers
CHARET ou CHAREST, Jean - Poitiers
CHARET, Étienne - Poitiers
CHARET, Jacques - Poitiers
CHARPENTIER, Jean - Poitiers
CHARTIER, Jean - Poitiers
CHARTIER, Jeanne-Renée - Poitiers
CHARTIER, Martin - Poitiers
CHARTIER, Pierre - Poitiers
CHARTIER, René - Poitiers
CHAUCHETIÈRE, Claude - Poitiers
CHEBRAT, Jeanne - La Chaussée
CHEBROU, Jean - Gençay
CHEFDEVERGNE dit Larose, Louis - Orches
CHOLET dit Saint-Paul, René - Poitiers
COGNARD, Pierre-Charles - La Roche-Rigault
COMPAIN dit Lespérance, Bonaventure - Poitiers
COURRAUD, Pierre - Poitiers
COURTIGNY de CHANDALON, Pierre - Jaunay-Clan
COUTANCE dit Argencour ou Vaucour, Pierre - Poitiers
DAMIEN, Jacques - Couché
DANSACQ, Jean - Magné
DANSEREAU dit Biernay, Pierre - Saint-Georges-lès-Baillargeaux
DAUPHIN, Étienne - Bonnes
DAZÉ, Paul - Ranton
DEBIEN, Étienne - Moulismes
DEFAULLE, Pierre-Louis - Jaunay-Clan
DEGONOR, Nicolas - Poitiers
DELAUNE, Christophe - Archigny
DEQUAIN ou DE GAING, Anne - Usseau
DESERY, Charles - Beaumont
DESNOUX dit Léveillé, René - Poitiers
DESPEIGNES dit Poitevin, Gabriel - Rouillé
DESRANLEAU dit Châteauneuf, Jean - Chaunay
DESROCHERS - ou ROCHER, dit Lafrenière, Pierre Saint-Macoux
DESTOUCHE, Marie-Agnès - Poitiers
DEVOYAUX dit Laframboise - Lieux inconnus
DOUCET, Marguerite-Bénony - La Puye
DUBERGER dit Sanchagrin, Jean-Baptiste - Vivonne
DUBOIS dit Brisebois, René - Cissé
DUBOIS, François - Poitiers
DUCHESNEAU dit Sansregret, René - Fleuré
DUGAS, Vincent - Chouppes
DUHAUT dit Jasmin, Louis-Laurent - Poitiers
DUMONT, Gabriel - Mirebeau
DUPONT dit Vadeboncoeur, Jacques - Brion
DUPRAT, Jean-Robert - Poitiers
DUPUY, Gabriel - Monts-sur-Guesne
DURAND, Jean-Nicolas - Civray
DUREAU dit Poitevin - Poitiers
DUVERGER dit Laplante, René - Poitiers
ÉLIE dit Nouvelle, Jean ou Pierre - Poitiers
ÉMÉRIAU ou HÉMÉRIAU dit Bélair, François - Vivonne
FARDEAU ou FALARDEAU, Antoine - Loudun
FAUVEAU, Jeanne - Poitiers
FILIATRAULT, René - Angliers
FORGET, Françoise - Poitiers
FORGET, Jean - Poitiers
FRÉGEAU dit Laplanche, Daniel - Lieux inconnus
GALIPEAU dit Poitevin, Gilles - Dissay
GALIPEAU, Antoine - Dissay
GANNES DE FALAISE (de), François - Buxeuil
GANNES DE FALAISE (de), Louis - Buxeuil
GARCEAU dit Tranchemontagne, Jean - Lieux inconnus
GARNEAU, Louis - La Grimaudière
GASCHET, René - Neuville-de-Poitou
GAUJOU ou GEAUJOU dit de La Croisetière, Antoine - L’Isle-Jourdain
GAUTHIER dit Larose, René - Coussay
GAUTHIER, Jacques - Poitiers
GIBAULT, Gabriel - Lusignan
GILBERT, Étienne - Aulnay
GILBERT, Louis - Orches
GILLEBOURDAY, Marguerite - Marcay
GIRARDIN, Léonard - Poitiers
GIRAUD dit Brindamour, Étienne - Vouneuil-sous-Biard
GIRAUDEAU, Luce - Lieux inconnus
GIRON, Jean - Châtellerault
GIROUARD, Dominique - Archigny
GODU dit Sanschagrin, Yves-Pierre ou Yves-Hugues - Poitiers
GONEAU dit Lacouture, Jean - Poitiers
GONNAR (de) ou GOUNOR, Nicolas - Poitiers
GORGEAUX, Pierre - Poitiers
GOUBAULT dit Poitevin, Pierre - Vivonne
GOUIN, Laurent - Loudun
GOUIN, Mathurin - Loudun
GRESLON dit Laviolette, Jacques - Poitiers
GRIMAUD, Jacques - Champigny-le-Sec
GROLLIER dit Poitevin, Clément - Beaumont
Index alphabétique - des personnages
GRUSSEAU, Marie - Lusignan
GUÉRIN dit Berry, Louis - Brigneuil-le-Chantre
GUÉRIN dit Lafontaine, Claude - Lusignan
GUÉRIN, Clément - Poitiers
GUÉRINEAU, Pierre-Jean - Poitiers
GUIGNAS, Michel - Poitiers
GUILLET, Marie - Château-Larcher
GUINDON ou GUÉDON, Pierre - Loudun
GUYON dit Deslauriers, Philippe - Coussay
HERAULT, Jeanne - Poitiers
HERPIN dit Poitevin, Henri - Poitiers
HOUDARD ou OUDARD, Vincent - Orches
JAHAN dit La Chaussée, François - Poitiers
JANSON* dit Cimetière, Martin - Les Trois-Moutier
JANVIER, Jean - Poitiers
JARD sieur de Boispineau, Charles - Poitiers
JODOIN ou JAUDOUIN, Claude - Ligugé
JOUSSELOT dit L’Africain, Jacques - Saint-Gaudent
LACETIÈRE (de), Florent - moulismes
LACHAUME dit Loumeray, Louis - Lieux inconnus
LACORNE DE CHAPT, Joseph-Marie - Archigny
LAFAYE, Pierre-Joseph - Poitiers
LAFAYE, René-Antoine - Poitiers
LAFITAU, Jean-François - Poitiers
LAFOY, Antoine - Angles-sur-l’Anglin
LAGNEAU, Étienne - Poitiers
LAHAIE (de), Fiacre - Moncontour
LANDRY, Marie-Anne - Châtellerault
LAPLANTE dit Champagne, Bonaventure-Thomas - Champagné-Saint-Hilaire
LAURENT, Charles - Les Ormes
LAURENT, Louis - Les Ormes
LAUZON (de), Jean - Bignoux
LAUZON, Pierre - Leignes-sur-Fontaine
LAVERGNE, Jean - Châtellerault
LE BLANC, Sylvestre - La Puye
LE GODELIER, Martin - La Chaussée
LEBLOND dit Lafortune, Charles - Ingrandes
LEBRUN, Jacques - Le Vigeant
LECLERC dit Le Bouteleux, Jean - Ternay
LEGENDRE, Marguerite - Poitiers
LÉGER ou LIGER dit Lajeunesse, Pierre - Ingrandes
LEPROUST, Antoine-Claude - Angles-sur-l’Anglin
LEPROUST, Jean - Angles-sur-l’Anglin
LETARD ou TARD, Françoise - Poitiers
LEVREAU sieur de la Maisonneuve, Léon - Orches
LIMOUSIN dit Beaufort, Hilaire - Poitiers
LORIN, Pierre - Angliers
LORY, François - Poitiers
MALERAY DE LA MOLLERIE, Jacques - Poitiers
MALHERBAUT dit Campillon, Jean - Champigny-le-Sec
MALTESTE, Jean-Baptiste - Poitiers
MARCHELIDON, René - Saint-Pierre-de-Maillé
MAROT dit Larose, Jean-Sébastien-René - Poitiers
MARQUET dit Clocher, Louis - Poitiers
MARQUET dit Saint-Pierre, Jacques - Poitiers
MARROLOT, Pierre - Poitiers
MARTIN, Laurent - Lieux inconnus
MARTIN, Pierre - Bonnes
MASSARD, Nicolas - Vouillé
MATHURIN, Palin - Poitiers
MAZEREAU ou MAZERAUD dit Labarre, François - Lathus-Saint-Rémy
MECHIN, Hélène - Mirebeau
MECHIN, Jean - Mirebeau
MÉNAGE ou MESNAGE, Pierre - Naintré
MENOU D’AULNAY DE CHARNIZAY, Charles - Aulnay
MERCADIER ou MARCADIER dit Lahaie, Mathurin - Buxeuil
MERÉ, Jeanne - Poitiers
MIEL ou AMIEL dit Lusignan, Jean - Lusignan
MILLET, Pierre - Mirebeau
MINET dit Montigny, Jean - Poitiers
MINET, Louise - Poitiers
MINET, Marie - Poitiers
MINET, Marie-Madeleine - Poitiers
MINET, Renée - Poitiers
MONDINA ou MONDINAUD dit Olivier, Jacques - Lizant
MONTEIL dit Sansrémission, René - Saint-Maurice-la-Clouère
MONTREUIL dit Francoeur, Léonard - Maillé
MOREAU DU PORTAIL dit Dubreuil, René - Poitiers
MOREL, Pierre - Rouillé
MORILLON, Mathurin - Charrais
MOULAISON, Rose - La Puye
MOUSSION dit Lamouche, Robert - Haims
NAUD, Luc-François - Poitiers
NAUDIN ou NODIN, Pierre - Cissé
NEPVEU ou NEVEU, Jean - Poitiers
NETIER ou NESTIER dit Poitevin, Vincent - Saint-Genest-d’Ambière
NOËL, François - Chiré-en-Montreuil
ORGERÈILLE, Charlotte - Lieux inconnus
PAGNOUX, Perrine - Poitiers
PALIN ou PALAIN dit Dabonville, Mathurin - Poitiers
PAQUET ou PASQUIER, Emery - Poitiers
PAQUET ou PASQUIER, Jeanne - Poitiers
PAQUET ou PASQUIER, Marguerite - Poitiers
PAQUET ou PASQUIER, Maurice - Poitiers
PAQUET ou PASQUIER, René - Poitiers
PARENT, Mathurin - Leugny
PASQUIER, Etienne - Dissay
PASQUIER, François - Poitiers
PATRICE, Vincent - Loudun
PAULIN, Jean - Avanton
PÉLADEAU dit Saint-Jean, Jean - Aulnay
PELLETIER dit Sansoucy, Louis - Poitiers
PENISSEAU, Louis-André-Joachim - Poitiers
PENISSEAU, Marie-Benoitte Margueritte Ursule - Poitiers
PERRIN dit Saint-Pierre, Jean-Pierre - Poitiers
PERUSSE DES CARS, Louis-Nicolas - Monthoiron
PESANT ou PAYSAN ou POISANT dit Sanscartier, Antoine - Poitiers
PETITCLERC, Pierre - Pleumartin
PICARD, Jean - Châtellerault
PINTURAUX, François - Saint-Macoux
PLINGUET dit Poitou, Vincent - Les Ormes
PLOURDE ou PELOURDE, René - Vouneuil-sur-Vienne
POIRIER dit Desloges, Joseph - Lathus-Saint-Rémy
POITEVIN dit Lafleur, François - Brion
POUDRET, Antoine - Poitiers
POUPEAU, Vincent - Thuré
PRIEUR dit Lafleur, Jean - Poitiers
PRIEUR, Claude - Mirebeau
PRIEUR, Joseph - Mirebeau
PRINCHARD dit Potvin, Jean - Couché
PROTEAU ou PROTEAULT, Marie-Anne - Poitiers
PROTEAU, Jeanne - Poitiers
PROU ou PROULX, Jean - Poitiers
PROVOST, Louis - Dissay
RABEAU ou RABIAU dit Sanschagrin, Jean-Marc-Antoine - Poitiers
RAFFOU, Pierre - Linazay
RAGUENEAU, Nicolas - Lieux inconnus
RANGIER, Madeleine - Poitiers
RAVENEL (de) Chevalier, Pierre - La Trimouille
RAZILLY ou RASILLY (de), Isaac - Roiffé
REMENEUIL, Louis - Martaize
REQUIEM, Jean - Châtellerault
RICHARD, Jean - Aulnay
ROBICHAUD, Étienne - La Chaussée
ROBIN dit Saint-Jacques, Jacques - Loudun
ROUILLET dit Laviolette, Michel - Gouex
ROUSSEAU, Antoine - Bournand
ROUSSEL dit Saint-Pierre, Pierre - Poitiers
ROUSSET dit Châteaufort, Claude-Vincent - Châtellerault
ROY dit Châtellerault, Michel - Châtellerault
ROY dit Chouigny, Joseph - Poitiers
ROY, François - Poitiers
RUFFIGNY ou RUFFIGNÉ dit Sanschagrin, Jean - Poitiers
SALOMON, Louis - Poitiers
SAUVAGE dit Chevalier, Pierre-Charles - Poitiers
SEGUIN, Marguerite - Poitiers
SÈVRE (de), Jean - Poitiers
SINTON, Pierre - Châtellerault
SOULARD, Jacques - Lieux inconnus
SUREAU dit Blondin, Hilaire - Vouzailles
TARDIF ou TARDY, Louis - Saint-Georges-lès-Baillargeaux
TEMPLE, Marguerite - Archigny
TENAULT ou THENAULT, Charles - Châtellerault
TESSEREAU dit Bellefleur, Michel - Poitiers
TESSERROT, Antoine - Dissay
TOURON ou THOURON dit Lombard, Pierre - Le Vigeant
TOUSSALIN, Pierre - Saint-Cyr
VAILLANT dit Rasleau, Pierre - Mauprevoir
VALLÉE ou VALLET dit Sansoucy, Jean - Poitiers
VAUCELLE dit Belhumeur, Jean - Poitiers
VERONNEAU, Louis - Velléches
VEZIN, Louis - Blanzay
VIGNAULT dit Laverdure, Paul - Poitiers
VILLARD, Pierre - Poitiers
VILLEMONT (de), Françoise - Lieux inconnus
VILLEMONT (de), Jeanne-Antoinette - Lieux inconnus
